species_id,species_name,scientific_name,authorship,iucn_code,superorder,order,family,genus
1283,,,,44619,,,,
1284,,,,,,,,
106,,,Werner 1904 ,,,,,
1285,,,,,,,,
378,,,Last et al 2016,,,,,
677,,,Last et al 2016,,,,,
1286,,,,,,,,
1132,,,White et al 2015,,,,,
1287,,,,,,,,
1288,,,,,,,,
1,,,Linnaeus 1758 ,,,,,
2,,,Duméril 1865 ,,,,,
3,,,Bory de Saint-Vincent 1823 ,,,,,
4,,,"Last, White & Pogonoski 2008 ",,,,,
5,,,"Kemper, Ebert, Didier & Compagno 2010 ",,,,,
6,,,Howell Rivero 1936 ,,,,,
7,,,"Didier, Last & White 2008 ",,,,,
8,,,Tanaka 1905 ,,,,,
9,,,Didier 2002 ,,,,,
10,,,"Didier, Last & White 2008 ",,,,,
11,,,Linnaeus 1758 ,,,,,
12,,,"Kemper, Ebert, Compagno & Didier 2010 ",,,,,
13,,,"Didier, Last & White 2008 ",,,,,
14,,,"Luchetti, Iglésias & Sellos 2011 ",,,,,
15,,,Tanaka 1905 ,,,,,
16,,,Didier 1998 ,,,,,
17,,,Jordan & Snyder 1900 ,,,,,
18,,,de Brito Capello 1868 ,,,,,
19,,,Gilchrist 1922 ,,,,,
20,,,Bigelow & Schroeder 1951 ,,,,,
21,,,"Quaranta, Didier, Long & Ebert 2006 ",,,,,
22,,,Garman 1908 ,,,,,
23,,,Didier 2002 ,,,,,
24,,,Lay & Bennett 1839 ,,,,,
25,,,Jordan & Snyder 1904 ,,,,,
26,,,Gilbert 1905 ,,,,,
27,,,Didier 2008 ,,,,,
28,,,Whitley 1939 ,,,,,
29,,,"Moura, Figueiredo, Bordalo-Machado, Almeida & Gordo 2005 ",,,,,
30,,,de Buen 1959 ,,,,,
31,,,Didier 2008 ,,,,,
32,,,Soto & Vooren 2004 ,,,,,
33,,,"Barnett, Didier, Long & Ebert 2006 ",,,,,
34,,,"James, Ebert, Long & Didier 2009 ",,,,,
35,,,Collett 1904 ,,,,,
36,,,Jordan & Snyder 1904 ,,,,,
37,,,Fowler 1911 ,,,,,
38,,,Waite 1898 ,,,,,
39,,,Hardy & Stehmann 1990 ,,,,,
40,,,Gilbert 1905 ,,,,,
41,,,Didier & Séret 2002 ,,,,,
42,,,Karrer 1972 ,,,,,
43,,,Goode & Bean 1895 ,,,,,
44,,,Bullis & Carpenter 1966 ,,,,,
45,,,Schnakenbeck 1931,,,,,
46,,,Didier & Stehmann 1996 ,,,,,
47,,,"Compagno, Stehmann & Ebert 1990 ",,,,,
48,,,Holt & Byrne 1909 ,,,,,
49,,,Mitsukuri 1895 ,,,,,
50,,,Nishida & Nakaya 1988 ,,,,,
51,,,Last et al 2016,,,,,
52,,,Hildebrand & Schroeder 1928 ,,,,,
53,,,Last et al 2016,,,,,
54,,,Hutton 1875 ,,,,,
55,,,Mitchill 1815 ,,,,,
56,,,Smith 1828 ,,,,,
57,,,"Santos, Gomes & Charvet-Almeida 2004 ",,,,,
58,,,Jordan & Gilbert 1880 ,,,,,
59,,,Ogilby 1908 ,,,,,
60,,,Stauch & Blanc 1962 ,,,,,
61,,,Boeseman 1948 ,,,,,
62,,,Lindberg 1930 ,,,,,
63,,,Bloch & Schneider 1801 ,,,,,
64,,,DeKay 1842 ,,,,,
65,,,Santos & Carvalho 2004 ,,,,,
66,,,Nishida & Nakaya 1988 ,,,,,
67,,,Chu 1960 ,,,,,
68,,,Roberts & Karnasuta 1987 ,,,,,
69,,,Garman 1880 ,,,,,
70,,,Garman 1880 ,,,,,
71,,,Last et al 2016,,,,,
72,,,Compagno & Roberts 1984 ,,,,,
73,,,"Gomes, Rosa & Gadig 2000 ",,,,,
74,,,Steindachner 1892 ,,,,,
75,,,Miyosi 1939 ,,,,,
76,,,Annandale 1908 ,,,,,
77,,,Tokarev 1959 ,,,,,
78,,,Steindachner 1892 ,,,,,
79,,,Last & White 2008 ,,,,,
80,,,Linnaeus 1758 ,,,,,
81,,,Günther 1870 ,,,,,
82,,,Lesueur 1824 ,,,,,
83,,,Lesueur 1817 ,,,,,
84,,,Steindachner 1892 ,,,,,
85,,,Ogilby 1899 ,,,,,
86,,,Capapé 1977 ,,,,,
87,,,Jordan & Hubbs 1925 ,,,,,
88,,,Müller & Henle 1841 ,,,,,
89,,,"Last, Manjaji-Matsumoto & Pogonoski 2008 ",,,,,
90,,,Last & Manjaji-Matsumoto 2008 ,,,,,
91,,,Jordan & Seale 1906 ,,,,,
93,,,Macleay 1883 ,,,,,
94,,,"Last, Manjaji-Matsumoto & Kailola 2006 ",,,,,
95,,,Bloch & Schneider 1801 ,,,,,
96,,,Annandale 1909 ,,,,,
97,,,Vidthayanon & Roberts 2005 ,,,,,
98,,,Manjaji-Matsumoto & Last 2008 ,,,,,
99,,,Manjaji-Matsumoto & Last 2006 ,,,,,
100,,,Blyth 1860 ,,,,,
101,,,Sauvage 1878 ,,,,,
102,,,Beebe & Tee-Van 1941 ,,,,,
103,,,Bleeker 1852 ,,,,,
104,,,Bleeker 1852,,,,,
105,,,"Last, Manjaji-Matsumoto & Moore 2012 ",,,,,
107,,,Compagno & Roberts 1982 ,,,,,
108,,,Whitley 1939 ,,,,,
109,,,Bleeker 1852 ,,,,,
110,,,Gmelin 1789 ,,,,,
111,,,Bleeker 1852 ,,,,,
112,,,Müller & Henle 1841 ,,,,,
113,,,Roberts 2007 ,,,,,
114,,,Last 1987 ,,,,,
115,,,Müller & Henle 1841 ,,,,,
116,,,Last 1987 ,,,,,
117,,,"Last, White & Puckridge 2010 ",,,,,
118,,,Last & White 2008 ,,,,,
92,,,Gray 1851 ,,,,,
119,,,Macleay 1883 ,,,,,
120,,,Last & Manjaji-Matsumoto 2010 ,,,,,
121,,,Forskål 1775 ,,,,,
122,,,"Last, Manjaji & Yearsley 2005 ",,,,,
123,,,"Last, Fahmi & Naylor 2010 ",,,,,
124,,,Bonaparte 1832 ,,,,,
125,,,Forskål 1775 ,,,,,
126,,,Geoffroy Saint-Hilaire 1817 ,,,,,
127,,,Müller & Henle 1841 ,,,,,
128,,,Bloch & Schneider 1801 ,,,,,
129,,,Smith 1863 ,,,,,
130,,,Smith et al 2009,,,,,
131,,,Linnaeus 1758 ,,,,,
132,,,Ramsay & Ogilby 1886 ,,,,,
133,,,Shen et al 2012,,,,,
134,,,Peters 1869 ,,,,,
135,,,Yokata & Carvalho 2013,,,,,
136,,,Lowe 1843 ,,,,,
137,,,Temminck & Schlegel 1850 ,,,,,
138,,,Cooper 1864 ,,,,,
139,,,Bloch & Schneider 1801 ,,,,,
140,,,Gilchrist & Thompson 1911 ,,,,,
141,,,Shaw 1804 ,,,,,
142,,,Müller & Henle 1841 ,,,,,
143,,,Bleeker 1852 ,,,,,
144,,,Heemstra & Smith 1980 ,,,,,
147,,,Weigmann 2016,,,,,
148,,,Last et al 2016,,,,,
150,,,Last et al 2016,,,,,
154,,,Last et al 2016,,,,,
157,,,White & Naylor 2016,,,,,
158,,,White & Naylor 2017,,,,,
159,,,Gray 1834 ,,,,,
160,,,Bloch & Schneider 1801 ,,,,,
161,,,Bleeker 1852 ,,,,,
162,,,Linnaeus 1758 ,,,,,
163,,,Last & Stevens 2009,,,,,
164,,,Gill 1865,,,,,
146,,,Last et al 2016,,,,,
149,,,Bancroft 1831 ,,,,,
151,,,Müller & Henle 1841 ,,,,,
152,,,Bonnaterre 1788 ,,,,,
153,,,Notarbartolo-di-Sciara 1987 ,,,,,
155,,,Philippi 1892 ,,,,,
165,,,Philippi 1892 ,,,,,
166,,,Lesueur 1824 ,,,,,
167,,,Garman 1885 ,,,,,
168,,,Ogilby 1911 ,,,,,
169,,,Applegate & Fitch 1964 ,,,,,
170,,,Garman 1913 ,,,,,
171,,,Last et al 2016,,,,,
172,,,"Ruocco, Lucifora, D’az de Astarloa, Mabraga–a & Delpiani 2012",,,,,
173,,,Hector 1877 ,,,,,
174,,,Bleeker 1854 ,,,,,
175,,,Last et al 2016,,,,,
176,,,Last et al 2016,,,,,
177,,,Wallace 1967 ,,,,,
178,,,Carvalho & Lovejoy 2011 ,,,,,
179,,,Carvalho & Lovejoy 2011 ,,,,,
180,,,Müller & Henle 1841 ,,,,,
181,,,"Rosa, Castello & Thorson 1987 ",,,,,
182,,,Carvalho & Ragno 2011 ,,,,,
183,,,"Rosa, Carvalho & Almeida Wanderley 2008 ",,,,,
184,,,Günther 1880 ,,,,,
185,,,Silva & Carvalho 2011 ,,,,,
186,,,Vaillant 1880 ,,,,,
187,,,Last et al 2016,,,,,
188,,,Castex & Maciel 1963 ,,,,,
190,,,Müller & Henle 1834 ,,,,,
191,,,Garman 1913 ,,,,,
193,,,Valenciennes in Duméril 1865 ,,,,,
194,,,Deynat 2006 ,,,,,
195,,,Müller & Henle 1841 ,,,,,
196,,,Engelhardt 1912 ,,,,,
197,,,Castelnau 1855 ,,,,,
198,,,Fernández-Yépez 1958 ,,,,,
199,,,Castex 1964 ,,,,,
200,,,Garman 1913 ,,,,,
202,,,Silva & Carvalho 2011 ,,,,,
203,,,"Carvalho, Sabaj Pérez & Lovejoy 2011 ",,,,,
204,,,Castex & Castello 1970 ,,,,,
205,,,Last et al 2010,,,,,
206,,,Mitchill 1815 ,,,,,
192,,,Castex & Castello 1970 ,,,,,
201,,,Garman 1913 ,,,,,
207,,,Müller 1836 ,,,,,
208,,,Last et al 2016,,,,,
209,,,Müller & Henle 1841 ,,,,,
210,,,Boulenger 1895 ,,,,,
211,,,Geoffroy Saint-Hilaire 1817 ,,,,,
212,,,Ogilby 1912 ,,,,,
213,,,Last et al 2016,,,,,
214,,,Misra 1946,,,,,
215,,,Evermann & Jenkins 1891 ,,,,,
216,,,Last & Yearsley 2008 ,,,,,
217,,,"Yearsley, Last & Gomon 2008 ",,,,,
218,,,Whitley 1939 ,,,,,
219,,,Last & Gomon 1987 ,,,,,
220,,,Last & Gomon 1987 ,,,,,
221,,,Müller & Henle 1841 ,,,,,
222,,,Müller & Henle 1841 ,,,,,
223,,,Müller & Henle 1841 ,,,,,
224,,,Macleay 1884 ,,,,,
225,,,McKay 1966 ,,,,,
226,,,Lacepde 1804 ,,,,,
227,,,Séret & Last 2003 ,,,,,
228,,,McCulloch 1916 ,,,,,
229,,,Last & Gomon 1987 ,,,,,
230,,,Scott 1954 ,,,,,
231,,,Martens 1864 ,,,,,
232,,,Günther 1880 ,,,,,
233,,,Yearsley & Last 2006 ,,,,,
234,,,McKay 1966 ,,,,,
235,,,Last & Gomon 1987 ,,,,,
236,,,Séret & Last 2003 ,,,,,
237,,,Last & Gomon 1987 ,,,,,
238,,,Séret & Last 2003 ,,,,,
239,,,Dixon 1969 ,,,,,
240,,,Séret & Last 2003 ,,,,,
241,,,Whitley 1929 ,,,,,
242,,,McCulloch 1916 ,,,,,
243,,,Last & Gomon 1987 ,,,,,
244,,,Osburn & Nichols 1916 ,,,,,
245,,,Cooper 1863 ,,,,,
246,,,Cuvier 1816 ,,,,,
247,,,Garman 1913 ,,,,,
248,,,Philippi 1892,,,,,
249,,,Chirichigno F. & McEachran 1979 ,,,,,
250,,,Jordan & Gilbert 1882 ,,,,,
251,,,Weigmann 2016,,,,,
252,,,Günther 1872 ,,,,,
253,,,López S. & Bussing 1998 ,,,,,
254,,,Delsman 1941 ,,,,,
255,,,Gill 1863 ,,,,,
256,,,Miyake & McEachran 1988 ,,,,,
257,,,Weigmann 2016,,,,,
258,,,Miyake & McEachran 1988 ,,,,,
259,,,Jordan & Starks 1895 ,,,,,
260,,,Weigmann 2016,,,,,
261,,,Miyake & McEachran 1988 ,,,,,
262,,,Schultz 1949 ,,,,,
263,,,Last et al 2016,,,,,
264,,,"Deng, Xiong & Zhan 1983 ",,,,,
265,,,Last et al 2016,,,,,
266,,,Last et al 2016,,,,,
267,,,von Bonde & Swart 1923 ,,,,,
268,,,Meng & Li in Chu et al. 1981,,,,,
269,,,Last et al 2016,,,,,
270,,,Last et al 2016,,,,,
271,,,Last et al 2016,,,,,
272,,,Last et al 2016,,,,,
273,,,Last et al 2016,,,,,
274,,,Last et al 2016,,,,,
275,,,Last et al 2016,,,,,
276,,,Last et al 2016,,,,,
277,,,Last et al 2016,,,,,
278,,,Last et al 2016,,,,,
279,,,Chan 1965 ,,,,,
280,,,Last & Séret 2008 ,,,,,
281,,,Last & Séret 2008 ,,,,,
282,,,Last & Séret 2008 ,,,,,
283,,,Chan 1965 ,,,,,
284,,,Waite 1909 ,,,,,
285,,,Miranda Ribeiro 1907 ,,,,,
286,,,Regan 1903 ,,,,,
287,,,Günther 1880 ,,,,,
288,,,Gilbert 1896 ,,,,,
289,,,Kendall & Radcliffe 1912 ,,,,,
290,,,Gilbert 1896 ,,,,,
291,,,Dolganov 1983 ,,,,,
292,,,Dolganov 1983 ,,,,,
293,,,Fowler 1910 ,,,,,
294,,,Díaz de Astarloa & Mabragaña 2004 ,,,,,
295,,,Ishiyama 1952 ,,,,,
296,,,Günther 1876 ,,,,,
297,,,Dolganov 1983 ,,,,,
298,,,Norman 1937 ,,,,,
299,,,Stehmann 1995 ,,,,,
300,,,Hureau & Ozouf-Costaz 1980 ,,,,,
301,,,Stehmann 2005,,,,,
302,,,Günther 1877 ,,,,,
303,,,Garman 1908,,,,,
304,,,Iglésias & Lévy-Hartmann 2012 ,,,,,
305,,,Ishiyama & Ishihara 1977 ,,,,,
306,,,de Buen 1959 ,,,,,
307,,,Springer 1971 ,,,,,
308,,,Ishiyama & Ishihara 1977 ,,,,,
309,,,"Stevenson, Orr, Hoff & McEachran 2004",,,,,
310,,,Ishiyama 1952 ,,,,,
311,,,Stehmann 1987 ,,,,,
312,,,Osburn & Nichols 1916 ,,,,,
313,,,Ishiyama & Ishihara 1977 ,,,,,
314,,,Ishiyama & Ishihara 1977 ,,,,,
315,,,Forster 1967 ,,,,,
316,,,"Orr, Stevenson, Hoff, Spies & McEachran 2011 ",,,,,
317,,,Stehmann 1985 ,,,,,
318,,,Bean 1881 ,,,,,
319,,,McEachran & Miyake 1984 ,,,,,
320,,,Garrick 1961 ,,,,,
321,,,Norman 1937 ,,,,,
322,,,Krefft 1968 ,,,,,
323,,,Dolganov 1985 ,,,,,
324,,,Ishiyama 1967 ,,,,,
325,,,Soldatov & Pavlenko 1915 ,,,,,
326,,,Müller & Henle 1841 ,,,,,
327,,,Jensen 1914 ,,,,,
328,,,Beebe & Tee-Van 1941 ,,,,,
329,,,Ishiyama 1958 ,,,,,
330,,,Gilbert 1892 ,,,,,
331,,,Stehmann 2005 ,,,,,
332,,,Dolganov 1983 ,,,,,
333,,,Suvorov 1935 ,,,,,
334,,,Last & McEachran 2006 ,,,,,
335,,,Last & McEachran 2006 ,,,,,
336,,,Garrick & Paul 1974 ,,,,,
337,,,Last & Séret 2012 ,,,,,
338,,,Last & McEachran 2006 ,,,,,
339,,,Last & McEachran 2006 ,,,,,
340,,,Garrick & Paul 1974 ,,,,,
341,,,Last & Séret 2012 ,,,,,
342,,,Yearsley & Last 1992 ,,,,,
343,,,Stehmann 1989 ,,,,,
344,,,McCulloch 1911 ,,,,,
345,,,Last & Gledhill 2008 ,,,,,
346,,,Séret & Last 2012,,,,,
347,,,McEachran & Last 2008,,,,,
348,,,Séret & Last 2012,,,,,
349,,,Last & McEachran 2006 ,,,,,
350,,,Séret & Last 2012,,,,,
351,,,McEachran & Last 2008 ,,,,,
352,,,Séret & Last 2012,,,,,
353,,,McEachran & Last 1994 ,,,,,
354,,,Séret & Last 2009 ,,,,,
355,,,McEachran & Last 2008 ,,,,,
356,,,Hiyama 1940 ,,,,,
357,,,McEachran & Fechhelm 1982 ,,,,,
358,,,"Last, Mallick & Yearsley 2008 ",,,,,
359,,,"Last, Mallick & Yearsley 2008 ",,,,,
360,,,Günther 1880 ,,,,,
361,,,"Last, Mallick & Yearsley 2008 ",,,,,
362,,,"Last, Mallick & Yearsley 2008 ",,,,,
363,,,Marini 1932 ,,,,,
364,,,Garman 1913 ,,,,,
365,,,McEachran 1983 ,,,,,
366,,,McEachran 1983 ,,,,,
367,,,McEachran 1983 ,,,,,
368,,,Günther 1870 ,,,,,
369,,,Jordan 1891 ,,,,,
370,,,Philippi 1857 ,,,,,
371,,,Bigelow & Schroeder 1954 ,,,,,
372,,,Last et al 2016,,,,,
373,,,Tanaka 1916 ,,,,,
374,,,Ishiyama 1952 ,,,,,
375,,,Last et al 2016,,,,,
376,,,Last et al 2016,,,,,
377,,,Last et al 2016,,,,,
379,,,Ishiyama 1958 ,,,,,
380,,,Dolganov 1983 ,,,,,
381,,,Müller & Henle 1841 ,,,,,
382,,,Garman 1877 ,,,,,
383,,,Müller & Henle 1841 ,,,,,
384,,,Cope 1877 ,,,,,
385,,,Poeppig 1835 ,,,,,
386,,,Weigmann 2016,,,,,
387,,,Pozzi 1935 ,,,,,
388,,,Krefft 1968 ,,,,,
389,,,Norman 1938 ,,,,,
390,,,Collett 1879 ,,,,,
391,,,Weigmann 2016,,,,,
392,,,Donovan 1808 ,,,,,
393,,,Lloyd 1906 ,,,,,
394,,,Weigmann 2016,,,,,
395,,,Meisner 1987 ,,,,,
396,,,McEachran & Matheson 1985 ,,,,,
397,,,Bigelow & Schroeder 1948 ,,,,,
398,,,McEachran & Matheson 1985 ,,,,,
399,,,Bigelow & Schroeder 1950 ,,,,,
400,,,Bean & Weed 1909 ,,,,,
401,,,Bigelow & Schroeder 1958 ,,,,,
402,,,Last & Gledhill 2008 ,,,,,
403,,,Richardson 1845 ,,,,,
404,,,"Last, White & Pogonoski 2008 ",,,,,
405,,,"Last, White & Pogonoski 2008 ",,,,,
406,,,Last et al 2016,,,,,
407,,,Linnaeus 1758 ,,,,,
408,,,Bigelow & Schroeder 1962 ,,,,,
409,,,Wallace 1967 ,,,,,
410,,,Last 2008 ,,,,,
411,,,Last et al 2016,,,,,
412,,,Last 2008 ,,,,,
413,,,Séret 1989 ,,,,,
414,,,Cadenat 1960 ,,,,,
415,,,Beebe & Tee-Van 1941 ,,,,,
416,,,Last 2008 ,,,,,
417,,,Last 2008 ,,,,,
418,,,Last et al 2016,,,,,
419,,,Bigelow & Schroeder 1958 ,,,,,
420,,,Ishiyama 1958 ,,,,,
421,,,Last 2008 ,,,,,
422,,,Whitley 1940 ,,,,,
423,,,"Last, White & Pogonoski 2008 ",,,,,
424,,,Garrick & Paul 1974 ,,,,,
425,,,Last et al 2016,,,,,
426,,,Last et al 2016,,,,,
427,,,Chu 1960 ,,,,,
428,,,Mitchill 1818 ,,,,,
429,,,Wallace 1967 ,,,,,
430,,,Krefft & Stehmann 1975 ,,,,,
431,,,Last et al 2016,,,,,
432,,,"Last, White & Pogonoski 2008 ",,,,,
433,,,Gomes & Paragó 2001 ,,,,,
434,,,Storm 1881 ,,,,,
