species_id,species_name,scientific_name,authorship,iucn_code,superorder,order,family,genus
897,,,Guichenot 1848 ,,,,,
898,,,Springer 1966 ,,,,,
899,,,Soto 2001 ,,,,,
900,,,Springer 1966 ,,,,,
901,,,Springer & Sadowsky 1970 ,,,,,
902,,,Goode & Bean 1896 ,,,,,
903,,,Linnaeus 1758 ,,,,,
904,,,Müller & Henle 1838 ,,,,,
905,,,Maurin & Bonnet 1970 ,,,,,
906,,,Compagno 1988 ,,,,,
907,,,Fowler 1934 ,,,,,
908,,,Miranda Ribeiro 1907 ,,,,,
909,,,Springer 1966 ,,,,,
910,,,Springer 1966 ,,,,,
911,,,Garman 1881 ,,,,,
912,,,Linnaeus 1758 ,,,,,
913,,,"Shirai, Hagiwara & Nakaya 1992 ",,,,,
914,,,Tanaka 1908 ,,,,,
915,,,Howell Rivero 1936 ,,,,,
924,,,Whitley 1943 ,,,,,
926,,,Compagno 1973 ,,,,,
927,,,Compagno & Stevens 1993 ,,,,,
928,,,Takahashi & Nakaya 2004 ,,,,,
929,,,Compagno & Stevens 1993 ,,,,,
930,,,"White, Compagno & Dharmadi 2009 ",,,,,
931,,,Müller & Henle 1839 ,,,,,
932,,,Herre 1923 ,,,,,
933,,,Miyosi 1939 ,,,,,
934,,,Fourmanoir & Rivaton 1979 ,,,,,
935,,,Norman 1939 ,,,,,
936,,,"Castro-Aguirre, Antuna-Mendiola, González-Acosta & de la Cruz-Agüero 2005",,,,,
937,,,Günther 1870 ,,,,,
938,,,Cloquet 1819 ,,,,,
939,,,Gill 1864 ,,,,,
940,,,Mitchill 1815 ,,,,,
941,,,Gill 1864 ,,,,,
942,,,Garman 1913 ,,,,,
943,,,Pietschmann 1908 ,,,,,
945,,,Springer & Lowe 1963 ,,,,,
946,,,Phillipps 1932 ,,,,,
947,,,Jordan & Gilbert 1882 ,,,,,
948,,,Bleeker 1855 ,,,,,
949,,,"Ebert, Fowler & Compagno 2013",,,,,
925,,,Linnaeus 1758 ,,,,,
917,,,Springer 1940 ,,,,,
918,,,Griffith & Smith 1834 ,,,,,
919,,,Springer 1940 ,,,,,
921,,,Linnaeus 1758 ,,,,,
922,,,Valenciennes 1822 ,,,,,
923,,,Linnaeus 1758 ,,,,,
950,,,Cope 1877 ,,,,,
951,,,Heemstra 1997 ,,,,,
952,,,Hemprich & Ehrenberg 1899 ,,,,,
953,,,Linnaeus 1758 ,,,,,
954,,,Springer 1939 ,,,,,
955,,,Smith 1957 ,,,,,
956,,,Risso 1827 ,,,,,
957,,,White & Last 2006 ,,,,,
958,,,Springer 1939 ,,,,,
959,,,Heemstra 1997 ,,,,,
960,,,White & Last 2008 ,,,,,
961,,,White & Last 2008 ,,,,,
962,,,Chirichigno F. 1973,,,,,
963,,,White & Last 2006 ,,,,,
964,,,Boulenger 1902 ,,,,,
965,,,Kato 1968 ,,,,,
966,,,Kner & Steindachner 1867 ,,,,,
967,,,Smith 1839 ,,,,,
968,,,Müller & Henle 1839 ,,,,,
969,,,Girard 1855 ,,,,,
970,,,Girard 1855 ,,,,,
971,,,Günther 1870 ,,,,,
972,,,Miklouho-Maclay & Macleay 1884 ,,,,,
973,,,Taylor & Castro-Aguirre 1972 ,,,,,
974,,,Baldwin 2005 ,,,,,
975,,,Meyer 1793 ,,,,,
976,,,Fréminville 1840 ,,,,,
977,,,Smith 1949 ,,,,,
978,,,Gray 1831 ,,,,,
986,,,Hubbs & Follett 1947 ,,,,,
988,,,"Taylor, Compagno & Struhsaker 1983 ",,,,,
989,,,Jordan 1898 ,,,,,
990,,,Rafinesque 1810 ,,,,,
991,,,Risso 1810 ,,,,,
992,,,Maul 1955 ,,,,,
993,,,Matsubara 1936 ,,,,,
980,,,Lowe 1841 ,,,,,
981,,,Bonnaterre 1788 ,,,,,
983,,,Linnaeus 1758 ,,,,,
984,,,Rafinesque 1810 ,,,,,
985,,,Guitart 1966 ,,,,,
987,,,Bonnaterre 1788 ,,,,,
994,,,Ogilby 1908 ,,,,,
995,,,Bloch & Schneider 1801 ,,,,,
996,,,Bonnaterre 1788 ,,,,,
997,,,Lesson 1831 ,,,,,
998,,,Günther 1867 ,,,,,
999,,,Goubanov in Goubanov & Schleib 1980 ,,,,,
1000,,,Dingerkus & DeFino 1983 ,,,,,
1001,,,Müller & Henle 1838 ,,,,,
1002,,,Bleeker 1852 ,,,,,
1003,,,Gmelin 1789 ,,,,,
1004,,,Anonymous [Bennett] 1830 ,,,,,
1005,,,Müller & Henle 1838 ,,,,,
1006,,,Quoy & Gaimard 1824 ,,,,,
1007,,,Allen & Erdmann 2008 ,,,,,
1008,,,Whitley 1967 ,,,,,
1009,,,Allen & Erdmann 2008 ,,,,,
1010,,,Allen & Dudgeon 2010 ,,,,,
1011,,,Bonnaterre 1788 ,,,,,
1012,,,Whitley 1967 ,,,,,
1013,,,Richardson 1843 ,,,,,
1014,,,Bleeker 1867 ,,,,,
1015,,,Last & Chidlow 2008 ,,,,,
1016,,,Whitley 1940 ,,,,,
1017,,,"Last, Chidlow & Compagno 2006 ",,,,,
1018,,,Regan 1906 ,,,,,
1019,,,"Last, Pogonoski & White 2010 ",,,,,
1020,,,Bonnaterre 1788 ,,,,,
1021,,,De Vis 1883 ,,,,,
1022,,,Last & Chidlow 2008 ,,,,,
1023,,,"Last, Pogonoski & White 2008 ",,,,,
1024,,,Whitley 1939 ,,,,,
1025,,,Peters 1864 ,,,,,
1026,,,Smith & Radcliffe 1913 ,,,,,
1027,,,Teng 1959 ,,,,,
1028,,,Kamohara 1943 ,,,,,
1029,,,Ramsay & Ogilby 1888 ,,,,,
1030,,,Last & Stevens 2008 ,,,,,
1031,,,McCulloch 1911 ,,,,,
1032,,,Goto & Last 2002 ,,,,,
1033,,,Duméril 1853 ,,,,,
1035,,,Hermann 1783 ,,,,,
1036,,,Ebert & Compagno 2009 ,,,,,
1037,,,Garman 1884 ,,,,,
1038,,,Bonnaterre 1788 ,,,,,
1039,,,Bonnaterre 1788 ,,,,,
1040,,,Teng 1962 ,,,,,
1041,,,"Ebert, Fowler & Compagno 2013",,,,,
1042,,,Péron 1807 ,,,,,
1043,,,Regan 1906 ,,,,,
1044,,,Latham 1794 ,,,,,
1045,,,"Yearsley, Last & White 2008 ",,,,,
1046,,,Günther 1870 ,,,,,
1047,,,Ebert & Cailliet 2011 ,,,,,
1048,,,Günther 1870 ,,,,,
1049,,,Springer & Bullis 1960 ,,,,,
1050,,,Garman 1913 ,,,,,
1051,,,Bloch & Schneider 1801 ,,,,,
1052,,,McCulloch 1915 ,,,,,
1053,,,"Chu, Meng & Liu 1981 ",,,,,
1054,,,Barboza du Bocage & de Brito Capello 1864 ,,,,,
1055,,,Bleeker 1860 ,,,,,
1056,,,Baranes 2003 ,,,,,
1057,,,Bonnaterre 1788 ,,,,,
1058,,,Garman 1906 ,,,,,
1059,,,"White, Ebert & Compagno 2008 ",,,,,
1060,,,"White, Ebert & Compagno 2008 ",,,,,
1061,,,Lowe 1839 ,,,,,
1062,,,Garman 1906 ,,,,,
1063,,,Smith & Radcliffe 1912 ,,,,,
1064,,,McCulloch 1915 ,,,,,
1065,,,Bonnaterre 1788 ,,,,,
1066,,,Hulley & Penrith 1966 ,,,,,
1067,,,Quoy & Gaimard 1824 ,,,,,
1068,,,Fowler 1934 ,,,,,
1069,,,Quoy & Gaimard 1824 ,,,,,
1070,,,White & Last 2013,,,,,
1071,,,Garrick & Springer 1964 ,,,,,
1072,,,Dolganov 1984 ,,,,,
1073,,,Teng 1959 ,,,,,
1074,,,Smith & Radcliffe 1912 ,,,,,
1075,,,Bonnaterre 1788 ,,,,,
1076,,,Pietschmann 1928 ,,,,,
1077,,,de Buen 1959 ,,,,,
1078,,,Shirai & Nakaya 1990 ,,,,,
1079,,,Reinhardt 1825 ,,,,,
1080,,,Günther 1887 ,,,,,
1081,,,Abe 1966 ,,,,,
1082,,,Garman 1899 ,,,,,
1083,,,Alcock 1889 ,,,,,
1084,,,Jordan & Fowler 1903 ,,,,,
1085,,,Shirai & Tachikawa 1993 ,,,,,
1086,,,Smith & Radcliffe 1912 ,,,,,
1087,,,Bigelow & Schroeder 1957 ,,,,,
1088,,,Schaaf-Da Silva & Ebert 2006,,,,,
1089,,,Springer & Burgess 1985 ,,,,,
1090,,,"Last, Burgess & Séret 2002",,,,,
1091,,,Fricke & Koch 1990 ,,,,,
1092,,,Chan 1966 ,,,,,
1093,,,"Last, Burgess & Séret 2002 ",,,,,
1094,,,"Last, Burgess & Séret 2002 ",,,,,
1095,,,"Last, Burgess & Séret 2002 ",,,,,
1096,,,"Last, Burgess & Séret 2002 ",,,,,
1097,,,Krefft 1968 ,,,,,
1098,,,Günther 1880 ,,,,,
1099,,,Poey 1861 ,,,,,
1100,,,"Knuckey, Ebert & Burgess 2011 ",,,,,
1101,,,Parin & Kotlyar 1990 ,,,,,
1102,,,Jordan & Snyder 1902 ,,,,,
1103,,,Whitley 1939 ,,,,,
1104,,,Springer & Burgess 1985 ,,,,,
1105,,,"Bigelow, Schroeder & Springer 1953 ",,,,,
1106,,,Collett 1904 ,,,,,
1107,,,"Last, Burgess & Séret 2002 ",,,,,
1108,,,Lowe 1839 ,,,,,
1109,,,Kotlyar 1990 ,,,,,
1110,,,Schofield & Burgess 1997 ,,,,,
1111,,,Weigmann 2016,,,,,
1112,,,"Bigelow, Schroeder & Springer 1953 ",,,,,
1113,,,"Ebert, Compagno & De Vries 2011 ",,,,,
1114,,,"Bass, D'Aubrey & Kistnasamy 1976 ",,,,,
1115,,,Dolganov 1986 ,,,,,
1116,,,Linnaeus 1758 ,,,,,
1117,,,Yano 1988 ,,,,,
1118,,,Engelhardt 1912 ,,,,,
1119,,,Straube 2011 ,,,,,
1120,,,Gilbert 1905 ,,,,,
1121,,,"Bigelow, Schroeder & Springer 1953 ",,,,,
1122,,,Mochizuki & Ohe 1990 ,,,,,
1123,,,Ogilby 1893 ,,,,,
1124,,,Cervigón 1961 ,,,,,
1125,,,Linnaeus 1758 ,,,,,
1126,,,Yano & Murofushi 1985 ,,,,,
1127,,,Frade 1929 ,,,,,
1128,,,Barboza du Bocage & de Brito Capello 1864 ,,,,,
1129,,,Garman 1906 ,,,,,
1130,,,Barboza du Bocage & de Brito Capello 1864 ,,,,,
1131,,,White et al 2015,,,,,
1133,,,Taniuchi & Garrick 1986 ,,,,,
1134,,,Kukuev & Konovalenko 1988 ,,,,,
1135,,,Kukuev & Konovalenko 1988 ,,,,,
1136,,,Archey 1921 ,,,,,
1137,,,Barboza du Bocage & de Brito Capello 1864 ,,,,,
1138,,,Whitley 1939 ,,,,,
1139,,,Tanaka 1912,,,,,
1140,,,Bloch & Schneider 1801 ,,,,,
1141,,,Bigelow & Schroeder 1944 ,,,,,
1142,,,Risso 1827 ,,,,,
1143,,,White et al 2015,,,,,
1144,,,Günther 1877 ,,,,,
1145,,,Merrett 1973 ,,,,,
1146,,,"White, Last & Stevens 2007 ",,,,,
1147,,,Tanaka 1912 ,,,,,
1149,,,"Last, White & Stevens 2007 ",,,,,
1150,,,"Last, White & Stevens 2007 ",,,,,
1151,,,Risso 1827 ,,,,,
1152,,,Tanaka 1917,,,,,
1153,,,"Last, Séret & Pogonoski 2007 ",,,,,
1154,,,"Last, White & Motomura 2007 ",,,,,
1155,,,"Last, Edmunds & Yearsley 2007 ",,,,,
1156,,,Howell Rivero 1936 ,,,,,
1202,,,Blyth 1860,,,,,
1157,,,"White, Last & Stevens 2007 ",,,,,
1158,,,White & Iglésias 2011 ,,,,,
1159,,,"White, Last & Stevens 2007 ",,,,,
1160,,,Phillipps 1931 ,,,,,
1161,,,"White, Last & Yearsley 2007 ",,,,,
1162,,,Ishikawa 1908 ,,,,,
1163,,,Baranes 2003,,,,,
1164,,,Macleay 1881 ,,,,,
1165,,,Fourmanoir & Rivaton 1979 ,,,,,
1166,,,Jordan & Snyder 1903 ,,,,,
1167,,,Whitley 1931 ,,,,,
1168,,,"Last, Marshall & White 2007 ",,,,,
1169,,,"Last, White & Stevens 2007 ",,,,,
1170,,,Fourmanoir & Rivaton 1979 ,,,,,
1171,,,Duffy & Last 2007 ,,,,,
1172,,,Girard 1855 ,,,,,
1173,,,Cuvier 1829 ,,,,,
1174,,,Regan 1908 ,,,,,
1175,,,Last & White 2008 ,,,,,
1176,,,Marini 1930 ,,,,,
1177,,,Philippi 1887 ,,,,,
1178,,,Regan 1906 ,,,,,
1179,,,"Walsh, Ebert & Compagno 2011 ",,,,,
1180,,,Ayres 1859 ,,,,,
1181,,,Lesueur 1818 ,,,,,
1182,,,Shen & Ting 1972 ,,,,,
1183,,,Marini 1936 ,,,,,
1184,,,Bleeker 1858 ,,,,,
1185,,,Last & White 2008 ,,,,,
1186,,,Regan 1906 ,,,,,
1187,,,Vooren & da Silva 1991 ,,,,,
1188,,,Bonaparte 1840 ,,,,,
1189,,,Last & White 2008 ,,,,,
1191,,,McCulloch 1914 ,,,,,
1192,,,Chen 1963 ,,,,,
1193,,,"Kemper, Ebert, Naylor & Didier 2015 ",,,,,
1194,,,"Angulo, L„pez, Bussing & Murase 2014",,,,,
1195,,,"Walovich, Ebert & Kemper 2017",,,,,
1196,,,"Last, White & Naylor 2016 ",,,,,
1197,,,Blyth 1860,,,,,
1198,,,Last & White 2013,,,,,
1199,,,"Last, Bogorodsky & Alpermann 2016 ",,,,,
1200,,,Manjaji-Matsumoto & Last 2016  ,,,,,
1201,,,Manjaji-Matsumoto & Last 2016  ,,,,,
1203,,,Bleeker 1852,,,,,
1204,,,Bleeker 1852,,,,,
1205,,,Last & White 2013,,,,,
1206,,,"Last, White & Naylor 2016 ",,,,,
1207,,,"Last, White & Séret 2016 ",,,,,
1208,,,"Last, White & Séret 2016 ",,,,,
1209,,,"Last, White & Séret 2016 ",,,,,
1210,,,Castelnau 1873,,,,,
1211,,,Garman 1885,,,,,
1212,,,"Last, White & Naylor 2016 ",,,,,
1213,,,"Last, White & Kyne 2016 ",,,,,
1214,,,Gill 1865,,,,,
1215,,,"White, Furumitsu & Yamaguchi 2013 ",,,,,
1216,,,Kuhl 1823 ,,,,,
1217,,,"White, Last & Baje 2015 ",,,,,
1218,,,Müller & Henle 1841 ,,,,,
1219,,,Carvalho 2016    ,,,,,
1220,,,Loboda & Carvalho 2013,,,,,
1221,,,Carvalho 2016    ,,,,,
1222,,,"Fontenelle, Silva & Carvalho 2014",,,,,
1223,,,Loboda & Carvalho 2013,,,,,
1224,,,Carvalho 2016    ,,,,,
1225,,,"Carvalho, Rosa & Araújo 2016 ",,,,,
1226,,,"Moral-Flores, Angulo, Lopez & Bussing 2015",,,,,
1227,,,Last & Bussarawit 2016  ,,,,,
1228,,,Weigmann & Stehmann 2016  ,,,,,
1229,,,Stehmann & Weigmann 2016  ,,,,,
1230,,,Gill & Townsend 1897 ,,,,,
1231,,,"Last, Stewart & S_ret 2016 ",,,,,
1232,,,"Concha, Ebert & Long 2016 ",,,,,
1233,,,"White, Last, & Mana 2017",,,,,
1234,,,McEachran & Matheson 1995 ,,,,,
1235,,,Last & Alava 2013 ,,,,,
1236,,,"Weigmann, Stehmann & Thiel, 2015",,,,,
1237,,,Dollo 1904,,,,,
1238,,,Regan 1906,,,,,
1239,,,Last & Séret 2016  ,,,,,
1240,,,"Weigmann, Stehmann & Thiel 2014 ",,,,,
1244,,,Séret 2016    ,,,,,
1249,,,Carvalho & White 2016  ,,,,,
1250,,,White & Last 2016  ,,,,,
1251,,,"Ebert, Haas & Carvalho 2015",,,,,
1252,,,Storer 1843,,,,,
1254,,,"Kawauchi, Weigmann & Nakaya, 2014 ",,,,,
1253,,,"White & Weigmann, 2014 ",,,,,
1245,,,"Last, Séret & Naylor 2016 ",,,,,
1246,,,"White, Last & Naylor 2016 ",,,,,
1247,,,"Last, Corrigan & Naylor 2014 ",,,,,
1243,,,"Last, Ho & Chen 2013 ",,,,,
1241,,,Séret & Naylor 2016  ,,,,,
1255,,,"Sato, Steward & Nakaya 2013 ",,,,,
1256,,,Iglésias 2013 ,,,,,
1257,,,Fahmi & White 2015 ,,,,,
1258,,,"Weigmann, Ebert, Clerkin, Stehmann & Naylor 2016",,,,,
1259,,,Ebert & Clerkin 2015,,,,,
1260,,,"Kaschner, Weigmann & Thiel 2015",,,,,
1261,,,Weigmann & Kaschner 2017,,,,,
1262,,,Teng 1962,,,,,
1263,,,"White, Mana & Naylor 2016",,,,,
1264,,,"Soares, Gomes & Carvalho 2016 ",,,,,
1266,,,"Moral-Flores, Ramírez-Antonio, Angulo & de León 2015",,,,,
1267,,,Pellegrin 1914,,,,,
1268,,,"Allen, Erdmann & Dudgeon 2013 ",,,,,
1269,,,Ebert & Wilms 2013 ,,,,,
1270,,,Rafinesque 1810 ,,,,,
1271,,,"Ebert, Straube, Leslie & Weigmann 2016",,,,,
1272,,,"Vàsquez, Ebert & Long 2015 ",,,,,
1273,,,"Ebert, Papastamatiou, Kajiura & Wetherbee 2017",,,,,
1274,,,"White, Ebert, Mana & Corrigan 2017",,,,,
1275,,,Regan 1908,,,,,
1276,,,"Viana, Carvalho & Gomes 2016 ",,,,,
1277,,,"Viana, Carvalho & Gomes 2016 ",,,,,
1278,,,"Viana, Carvalho & Gomes 2016 ",,,,,
1279,,,"Viana, Lisher & Carvalho 2017",,,,,
1280,,,"Viana, Lisher & Carvalho 2017",,,,,
1281,,,"Viana, Carvalho & Gomes 2016 ",,,,,
1282,,,"Acero, Tavera, Anguila & Hernàndez 2016",,,,,
562,,,Müller & Henle 1841 ,,,,,
1248,,,"Last, Henderson & Naylor 2016 ",,,,,
979,,,Nakamura 1935 ,,,,,
556,,,Latham 1794 ,,,,,
689,,,Poey 1860 ,,,,,
690,,,Rüppell 1837 ,,,,,
692,,,Whitley 1934 ,,,,,
702,,,Müller & Henle 1839 ,,,,,
714,,,Poey 1876 ,,,,,
716,,,Ranzani 1839 ,,,,,
721,,,Bleeker 1852,,,,,
982,,,Gunnerus 1765 ,,,,,
916,,,Cuvier 1816 ,,,,,
573,,,"Last, Séret & Naylor 2020",,,,,
145,,,Last et al 2016,,,,,
156,,,Lloyd 1908 ,,,,,
734,,,Gilbert 1898 ,,,,,
735,,,Rüppell 1837 ,,,,,
189,,,Castelnau 1855 ,,,,,
557,,,Garman 1906 ,,,,,
560,,,Bleeker 1851 ,,,,,
597,,,Last et al 2016,,,,,
1034,,,Smith 1828 ,,,,,
593,,,"Last, White & Fahmi 2006 ",,,,,
601,,,Müller & Henle 1841 ,,,,,
738,,,Rüppell 1837 ,,,,,
1242,,,"Last, Kyne & Compagno 2016 ",,,,,
612,,,Last et al 2016,,,,,
1265,,,"Quattro, Driggers, Grady, Ulrich & Roberts 2013 ",,,,,
920,,,Rüppell 1837 ,,,,,
1148,,,Linnaeus 1758 ,,,,,
1190,,,Linnaeus 1758 ,,,,,
