species_name,data_type,sampling_method,model,ocean,start_year,end_year,n_years,location
species_1284,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_106,sSPUE,sighting,,,2009,2018,8,"Bélize, Glovers Reef and Southwater Cay"
species_1285,sCPUE,trawl,,,1993,2017,21,Falkland Islands
species_378,biomass,"trawl, longline",,,1997,2014,18,Heard Island and McDonald Islands
species_378,sCPUE,trawl,,,1998,2014,17,Heard Island and McDonald Islands
species_677,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_1286,sCPUE,trawl,,,2002,2006,5,Southeast Australia - Eastern region
species_1286,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_1132,biomass,trawl,,,1991,2014,16,South New Zealand EEZ
species_1132,biomass,trawl,,,1992,2014,23,New Zealand  - Chatham Rise
species_1287,nCPUE,longline,,,2011,2018,8,Gulf of Mexico
species_3,sCPUE,multiple?,,,1997,2016,20,South and Southeast Australia
species_7,sCPUE,trawl,,,1994,2006,13,Southeast Australia - Eastern region
species_11,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_24,nSPUE,sighting,,,2002,2007,6,strait_of_georgia
species_43,biomass,trawl,,,1991,2014,16,South New Zealand EEZ
species_43,biomass,trawl,,,1992,2014,23,New Zealand  - Chatham Rise
species_52,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_52,sSPUE,sighting,,,2009,2018,8,"Bélize, Glovers Reef and Southwater Cay"
species_52,biomass,landings,,,2000,2014,15,Mexican coastal waters (Atlantic)
species_52,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_52,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_54,sCPUE,"trawl, seine",,,2001,2006,6,Great Australian Bight
species_54,sCPUE,trawl,,,2002,2006,5,Southeast Australia - Eastern region
species_69,sCPUE,"trawl, seine",,,2001,2005,4,Great Australian Bight
species_69,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_80,sCPUE,trawl,,,1994,2010,17,"Sardinia (Geographical sub-area 11), Mediterranean Sea"
species_82,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_82,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_83,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_83,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_83,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_124,sCPUE,longline,,,2004,2015,12,"USA northwest Atlantic, Gulf of Mexico, Bahamas"
species_124,nCPUE,longline,,,1995,2015,21,Western and Central Pacific
species_158,biomass,landings,,,2000,2014,15,Mexican coastal waters (Atlantic)
species_158,sSPUE,sighting,,,2009,2018,8,"Bélize, Glovers Reef and Southwater Cay"
species_162,sCPUE,trawl,,,2006,2013,8,north_adriatic
species_162,sCPUE,trawl,,,1985,2004,18,north_tyrrhenian
species_146,sSPUE,sighting,,,2003,2011,9,Mozambique
species_146,nSPUE,sighting,,,2003,2018,16,"South Mozambique, Inhambane region"
species_146,nCPUE,longline,,,2001,2015,15,Western and Central Pacific
species_151,nSPUE,sighting,,,2003,2018,16,"South Mozambique, Inhambane region"
species_173,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_176,sCPUE,trawl,,,2006,2013,8,north_adriatic
species_206,sCPUE,trawl,,,1970,2004,23,Delaware Bay (USA)
species_206,sCPUE,trawl,,,1987,2004,18,Pamilico Sound (USA)
species_206,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_206,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_206,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_221,sCPUE,trawl,,,2001,2006,6,Southeast Australia - Eastern region
species_224,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_226,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_228,sCPUE,"trawl, seine",,,2000,2006,7,Great Australian Bight
species_239,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_242,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_265,sCPUE,trawl,,,2002,2013,11,"Brownsville, TX to the Florida Keys, FL (USA)"
species_290,biomass,trawl,,,2000,2018,19,Aleutian Islands
species_290,biomass,trawl,,,2002,2016,15,Bering Sea slope
species_290,biomass,trawl,,,2000,2018,19,Bering Sea shelf
species_293,sCPUE,trawl,,,1993,2017,21,Falkland Islands
species_296,sCPUE,trawl,,,1998,2014,17,Heard Island and McDonald Islands
species_296,biomass,"trawl, longline",,,1997,2014,18,Heard Island and McDonald Islands
species_296,sCPUE,trawl,,,1998,2014,13,Heard Island and McDonald Islands
species_296,sCPUE,longline,,,2008,2014,7,Kerguelen Island
species_298,sCPUE,trawl,,,1993,2017,21,Falkland Islands
species_300,sCPUE,longline,,,2006,2014,9,Heard Island and McDonald Islands
species_300,sCPUE,longline,,,2008,2014,7,Kerguelen Island
species_305,biomass,trawl,,,2002,2016,15,Bering Sea slope
species_308,biomass,trawl,,,2002,2016,15,Bering Sea slope
species_308,biomass,trawl,,,2000,2018,19,Aleutian Islands
species_313,biomass,trawl,,,2002,2016,15,Bering Sea slope
species_318,standardized_biomass,multiple,,,1958,2018,61,Bering Sea shelf
species_318,biomass,trawl,,,2000,2018,19,Bering Sea shelf
species_318,biomass,trawl,,,2002,2016,15,Bering Sea slope
species_318,biomass,trawl,,,1999,2019,21,Bering Sea shelf
species_321,sCPUE,trawl,,,1993,2017,21,Falkland Islands
species_327,biomass,trawl,,,2003,2016,14,Barent Sea
species_330,biomass,trawl,,,2002,2016,15,Bering Sea slope
species_360,sCPUE,trawl,,,2001,2006,6,Southeast Australia - Eastern region
species_372,sCPUE,trawl,,,1993,2017,21,Falkland Islands
species_377,sCPUE,trawl,,,1993,2017,21,Falkland Islands
species_390,biomass,trawl,,,2003,2016,14,Barent Sea
species_392,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_392,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_392,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_392,sCPUE,trawl,,,2002,2018,16,"south eastern North Sea, BTS GFR Q3"
species_392,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_392,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_392,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_392,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_392,sCPUE,trawl,,,2002,2018,16,"south eastern North Sea, BTS GFR Q3"
species_392,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_392,sCPUE,trawl,,,1963,2018,56,"NOAA-NEFSC, Northeastern USA"
species_392,nCPUE,trawl,,,1980,2020,41,"North Sea, NS-IBTS, Q1 (RoundFish areas 1 to 4 and 6 to 9)"
species_392,nCPUE,trawl,,,1991,2019,29,"North Sea, NS-IBTS, Q3 (RoundFish areas 1 to 4 and 6 to 9)"
species_392,nCPUE,trawl,,,1992,2004,13,West Greenland waters
species_392,nCPUE,trawl,,,2005,2017,13,West Greenland waters
species_392,nCPUE,trawl,,,2005,2017,13,West Greenland coast
species_392,nCPUE,trawl,,,1992,2004,13,West Greenland coast
species_392,standardized_abundance,trawl,,,1977,1994,18,"2J3K, Newfoundland and Labrador Shelves (Canada)"
species_392,standardized_abundance,trawl,,,1995,2017,23,"2J3K, Newfoundland and Labrador Shelves (Canada)"
species_392,standardized_abundance,trawl,,,1973,1995,23,"3LNOPs, Grand Banks (Canada)"
species_392,standardized_abundance,trawl,,,1996,2017,22,"3LNOPs, Grand Banks (Canada)"
species_392,standardized_abundance,trawl,,,1991,2018,28,"4RS, Northern Gulf of St. Lawrence (Canada)"
species_392,standardized_abundance,trawl,,,1971,2018,48,"4T, Southern Gulf of St. Lawrence (Canada)"
species_392,standardized_abundance,trawl,,,1970,2017,48,"4VWX, Scotian Shelf and Bay of Fundy (Canada)"
species_392,standardized_abundance,trawl,,,1987,2018,32,"5Z, Georges Banks, (Canada)/Gulf of Maine (USA)"
species_392,standardized_abundance,trawl,,,1999,2017,11,"Div0, Davis Strait (Canada)"
species_392,biomass,trawl,,,2004,2016,13,Norwegian Coast North of 62º
species_392,biomass,trawl,,,2006,2017,11,Skagerrak North Sea
species_392,biomass,trawl,,,2003,2016,14,Barent Sea
species_392,nCPUE,trawl,,,1986,2020,35,Iceland waters
species_392,nCPUE,trawl,,,1996,2019,23,Iceland waters
species_406,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_407,sCPUE,trawl,,,2011,2017,7,Porcupine Bank
species_407,sCPUE,trawl,,,2011,2017,7,Porcupine Bank
species_412,sCPUE,trawl,,,1998,2004,7,Southeast Australia - Eastern region
species_422,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_428,sCPUE,trawl,,,1963,2018,56,NOAA-NEFSC (USA)
species_428,standardized_abundance,trawl,,,1987,2018,32,"5Z, Georges Banks, (Canada)/Gulf of Maine (USA)"
species_428,standardized_abundance,trawl,,,1970,2017,48,"4VWX, Scotian Shelf and Bay of Fundy (Canada)"
species_434,sCPUE,trawl,,,2011,2017,7,Porcupine Bank
species_434,sCPUE,trawl,,,2011,2017,7,Porcupine Bank
species_436,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_436,nCPUE,trawl,,,2002,2013,11,"Brownsville, TX to the Florida Keys, FL (USA)"
species_438,standardized_abundance,trawl,,,2000,2014,15,Balearic Islands
species_438,standardized_biomass,trawl,,,2000,2014,15,Balearic Islands
species_438,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_438,biomass,trawl,,,2003,2016,14,Norwegian Coast North of 62º
species_438,biomass,trawl,,,2006,2017,9,Skagerrak North Sea
species_462,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_462,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_462,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_464,sCPUE,trawl,,,1982,2018,37,NOAA-NEFSC (USA)
species_466,sCPUE,trawl,,,1967,2018,51,NOAA-NEFSC (USA)
species_470,sCPUE,trawl,,,1983,2018,35,"Galician and Cantabrian shelf, Spain coast"
species_470,standardized_biomass,trawl,,,2000,2014,15,Balearic Islands
species_470,standardized_abundance,trawl,,,2000,2014,15,Balearic Islands
species_470,standardized_biomass,longline,,,1950,2017,68,Bay of Biscay
species_470,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_470,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_470,sCPUE,trawl,,,2010,2018,9,"Southwest North Sea, BTS BEL Q3"
species_470,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_470,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_470,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_470,sCPUE,trawl,,,1993,2018,25,"Eastern English Channel, BTS ENG Q3"
species_470,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_470,sCPUE,trawl,,,2010,2018,9,"Southwest North Sea, BTS BEL Q3"
species_470,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_470,sCPUE,trawl,,,2001,2018,18,Porcupine Bank
species_470,sCPUE,trawl,,,1997,2018,19,Portugal coast
species_470,sCPUE,trawl,,,1997,2018,19,Portugal coast
species_470,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_470,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_470,sCPUE,trawl,,,1993,2018,25,"Eastern English Channel, BTS ENG Q3"
species_470,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_470,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_471,sCPUE,trawl,,,1971,2004,34,Gulf_of_St_Lawrence
species_471,nCPUE,trawl,,,1971,2004,34,Gulf_of_St_Lawrence
species_471,sCPUE,trawl,,,1971,2004,34,Gulf_of_St_Lawrence
species_471,nCPUE,trawl,,,1971,2004,34,Gulf_of_St_Lawrence
species_471,sCPUE,trawl,,,1967,2018,52,NOAA-NEFSC (USA)
species_471,standardized_abundance,trawl,,,1971,2018,48,"4T, Southern Gulf of St. Lawrence (Canada)"
species_471,standardized_abundance,trawl,,,1970,2017,48,"4VWX, Scotian Shelf and Bay of Fundy (Canada)"
species_471,standardized_abundance,trawl,,,1987,2018,32,"5Z, Georges Banks, (Canada)/Gulf of Maine (USA)"
species_478,sCPUE,trawl,,,1963,2018,56,NOAA-NEFSC (USA)
species_478,standardized_abundance,trawl,,,1970,2017,48,"4VWX, Scotian Shelf and Bay of Fundy (Canada)"
species_478,standardized_abundance,trawl,,,1977,1994,18,Funk Deep DU-2J3K (Canada)
species_478,standardized_abundance,trawl,,,1995,2017,23,Funk Deep DU-2J3K (Canada)
species_478,standardized_abundance,trawl,,,1975,1995,21,"3LNOPs, Grand Banks (Canada)"
species_478,standardized_abundance,trawl,,,1996,2017,22,"3LNOPs, Grand Banks (Canada)"
species_478,standardized_abundance,trawl,,,1986,2017,32,"5Z, Georges Banks, (Canada)/Gulf of Maine (USA)"
species_478,standardized_abundance,trawl,,,1971,2018,47,"4T, Southern Gulf of St. Lawrence (Canada)"
species_478,standardized_abundance,trawl,,,1991,2018,28,"4RS, Northern Gulf of St. Lawrence (Canada)"
species_503,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_507,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1 (IVa)"
species_507,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_507,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_507,sCPUE,trawl,,,2010,2018,9,"Southwest North Sea, BTS BEL Q3"
species_507,standardized_biomass,longline,,,1950,2017,68,Bay of Biscay
species_507,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_507,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_507,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_507,sCPUE,trawl,,,1993,2018,25,"Eastern English Channel, BTS ENG Q3"
species_507,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_507,sCPUE,trawl,,,2010,2018,9,"Southwest North Sea, BTS BEL Q3"
species_507,sCPUE,trawl,,,1988,2018,31,"Eastern English Channel, CGFS Q4"
species_507,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3 (IVa)"
species_507,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1 (IVc.VIId)"
species_507,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3 (IVc.VIId)"
species_507,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_507,sCPUE,trawl,,,1993,2018,25,"Eastern English Channel, BTS ENG Q3"
species_507,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_507,sCPUE,trawl,,,1988,2018,31,"Eastern English Channel, CGFS Q4"
species_507,sCPUE,trawl,,,1993,2018,26,Eastern English Channel
species_507,sCPUE,trawl,,,1993,2018,26,Eastern English Channel
species_507,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_507,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_510,standardized_abundance,trawl,,,2000,2014,15,Balearic Islands
species_510,standardized_biomass,trawl,,,2000,2014,15,Balearic Islands
species_510,standardized_abundance,longline,,,1995,2018,19,"Azores archipelago, EEZ"
species_510,standardized_biomass,longline,,,1950,2017,68,Bay of Biscay
species_510,sCPUE,trawl,,,1993,2018,25,"Eastern English Channel, BTS ENG Q3"
species_510,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_510,sCPUE,trawl,,,2010,2018,9,"Southwest North Sea, BTS GFR Q3"
species_510,sCPUE,trawl,,,1988,2018,31,"Eastern English Channel, CGFS Q4"
species_510,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_510,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_510,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_510,sCPUE,trawl,,,2002,2018,16,"south eastern North Sea, BTS BEL Q3"
species_510,sCPUE,trawl,,,1988,2018,31,"Eastern English Channel, CGFS Q4"
species_510,sCPUE,trawl,,,1987,2019,33,"North Sea, IBTS-Q1"
species_510,sCPUE,trawl,,,1991,2018,28,"North Sea, IBTS-Q3"
species_510,sCPUE,trawl,,,1987,2016,29,"Southern North Sea, BTS ISI Q3"
species_510,sCPUE,trawl,,,1993,2018,25,"Eastern English Channel, BTS ENG Q3"
species_510,sCPUE,trawl,,,1996,2018,23,"Southern and central North Sea, BTS TRi Q3"
species_510,sCPUE,trawl,,,2010,2018,9,"Southwest North Sea, BTS GFR Q3"
species_510,sCPUE,trawl,,,2002,2018,16,"south eastern North Sea, BTS BEL Q3"
species_510,sCPUE,trawl,,,1990,2018,24,Portugal coast
species_510,sCPUE,trawl,,,1990,2018,24,Portugal coast
species_510,sCPUE,trawl,,,2006,2018,12,Western English Channel
species_510,sCPUE,trawl,,,2006,2018,12,Western English Channel
species_510,sCPUE,trawl,,,1985,2004,18,north_tyrrhenian
species_512,sCPUE,trawl,,,1975,2018,43,NOAA-NEFSC (USA)
species_512,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_512,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_518,sCPUE,trawl,,,2006,2018,7,Western English Channel
species_518,sCPUE,trawl,,,2006,2018,7,Western English Channel
species_519,standardized_abundance,trawl,,,2000,2014,15,Balearic Islands
species_519,standardized_biomass,trawl,,,2000,2014,15,Balearic Islands
species_519,sCPUE,trawl,,,1985,2004,18,north_tyrrhenian
species_519,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_520,standardized_biomass,longline,,,1950,2017,68,Bay of Biscay
species_520,sCPUE,trawl,,,1993,2018,26,Eastern English Channel
species_520,sCPUE,trawl,,,1993,2018,26,Eastern English Channel
species_520,sCPUE,trawl,,,2005,2018,13,Portugal coast
species_520,sCPUE,trawl,,,2005,2018,13,Portugal coast
species_520,sCPUE,trawl,,,2006,2018,12,Western English Channel
species_520,sCPUE,trawl,,,2006,2018,12,Western English Channel
species_520,sCPUE,trawl,,,1972,2004,21,Tuscan archipelago and north_tyrrhenian
species_521,standardized_abundance,trawl,,,2000,2014,15,Balearic Islands
species_521,standardized_biomass,trawl,,,2000,2014,15,Balearic Islands
species_523,standardized_abundance,trawl,,,2000,2014,15,Balearic Islands
species_523,standardized_biomass,trawl,,,2000,2014,15,Balearic Islands
species_529,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_529,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_529,sCPUE,trawl,,,2002,2013,11,"Brownsville, TX to the Florida Keys, FL (USA)"
species_530,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_530,sCPUE,trawl,,,2006,2018,13,Western English Channel
species_530,sCPUE,trawl,,,1993,2011,19,Eastern English Channel
species_542,biomass,trawl,,,2003,2016,14,Barent Sea
species_542,biomass,trawl,,,2003,2016,14,Norwegian Coast North of 62º
species_542,biomass,trawl,,,2007,2017,10,Skagerrak North Sea
species_544,biomass,trawl,,,2000,2018,19,Aleutian Islands
species_545,biomass,trawl,,,2007,2017,8,Skagerrak North Sea
species_551,sCPUE,"trawl, seine",,,2001,2006,6,Great Australian Bight
species_551,sCPUE,trawl,,,2002,2006,5,Southeast Australia - Western region
species_551,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_558,sCPUE,line,,,1989,2009,21,Northwest Atlantic
species_569,sCPUE,trawl,,,1999,2006,8,Southeast Australia - Eastern region
species_585,nCPUE,trawl,,,1983,1992,10,southern Brazil
species_589,nCPUE,trawl,,,1987,2008,22,North Gulf of Mexico (USA)
species_589,nCPUE,trawl,,,2009,2018,10,North Gulf of Mexico (USA)
species_599,standardized_biomass,multiple,,,1990,2010,21,Mauritania
species_603,sCPUE,trawl,,,1998,2006,9,Southeast Australia - Eastern region
species_603,sCPUE,"trawl, seine",,,2000,2006,7,Great Australian Bight
species_627,sCPUE,trawl,,,1972,2002,31,North Gulf of Mexico
species_627,sCPUE,trawl,,,1982,2012,23,North Gulf of Mexico
species_627,sCPUE,trawl,,,1989,2013,23,North Gulf of Mexico
species_627,sSPUE,sighting,,,1994,2013,20,North Gulf of Mexico
species_627,sCPUE,trawl,,,1972,2012,33,North Gulf of Mexico
species_627,sCPUE,trawl,,,1982,2012,23,North Gulf of Mexico
species_645,sCPUE,trawl,,,2000,2006,7,Central south Australia
species_675,standardized_abundance,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_675,standardized_abundance,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_675,standardized_biomass,trawl,,,1994,2015,22,"Northern Alboran Sea, Mediterranean Sea"
species_675,standardized_biomass,trawl,,,1994,2015,22,"Northern Spain, Mediterranean Sea"
species_675,sCPUE,trawl,,,1985,2004,18,north_tyrrhenian
species_686,sCPUE,trawl,,,1985,2004,18,north_tyrrhenian
species_691,nCPUE,longline,,,1995,2014,16,Western and Central Pacific
species_693,abundance,longline,,,1995,2005,11,southwest_pacific
species_693,nCPUE,longline,,,1995,2015,20,Western and Central Pacific
species_694,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_696,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
species_696,nCPUE,longline,,,1995,2015,21,Western and Central Pacific
species_697,sCPUE,bather_protection_net,,,1978,2003,26,Kwazulu-Natal coast South-Africa
