openalex_author_id,display_name,institution,country,papers,gender,origin_country,origin_region,ethnicity,inst_city,inst_region,inst_lat,inst_lon
A5004390499,R. Glenn Northcutt,Scripps Institution of Oceanography,US,10,M,GB,Europe,British,La Jolla,California,32.84727,-117.2742
A5113522818,Todd M. O’Hara,Texas A&M University,US,10,M,IE,Europe,NativeHawaiian,College Station,Texas,30.62798,-96.33441
A5078848795,DA Ebert,Moss Landing Marine Laboratories,US,10,M,DE,Europe,German,Moss Landing,California,36.8044,-121.7869
A5019713538,John R. Gold,Texas A&M University – Corpus Christi,US,9,M,GB,Europe,Jewish,Corpus Christi,NA,27.80057907104492,-97.39637756347656
A5051923615,Timothy D. White,Pacific University,US,9,M,GB,Europe,British,Forest Grove,NA,45.51984024047852,-123.11065673828124
A5090365407,José De La Cruz‐Agüero,Instituto Politécnico Nacional,MX,9,M,ES,Europe,Portuguese,Mexico City,Mexico City,19.42847,-99.12766
A5008317354,Daniel Pauly,University of British Columbia,CA,9,M,FR,Europe,French,Vancouver,British Columbia,49.24966,-123.11934
A5109716564,Brett J. Falterman,Louisiana Department of Wildlife and Fisheries,US,9,M,IE,Europe,Swedish,Baton Rouge,Louisiana,30.399364471435547,-91.1291046142578
A5066383890,Mark N. Maunder,Inter-American Tropical Tuna Commission,US,9,M,GB,Europe,British,La Jolla,California,32.84727,-117.2742
A5028864885,Scott A. Aalbers,Pfleger Institute of Environmental Research,US,9,M,NL,Europe,Dutch,Oceanside,California,33.19929122924805,-117.37681579589844
A5041818586,Paul H. Yancey,Whitman College,US,9,M,GB,Europe,French,Walla Walla,NA,46.064579010009766,-118.343017578125
A5035172433,Cory D. Suski,University of Illinois Urbana-Champaign,US,9,M,PL,Europe,Polish,Urbana,Illinois,40.11059,-88.20727
A5055340306,Griselda Pulido-Flores,Universidad Autónoma del Estado de Hidalgo,MX,9,F,ES,Europe,Hispanic,Pachuca,NA,20.12805557250977,-98.73444366455078
A5065717281,Neil H. Shubin,University of Chicago,US,9,M,GB,Europe,Russian,Chicago,Illinois,41.85003,-87.65005
A5006688028,Sharon Z. Herzka,Ensenada Institute of Technology,MX,9,F,IL,Asia,Jewish,Ensenada,NA,31.806041717529297,-116.59031677246094
A5012773550,Douglas A. Syme,University of Calgary,CA,9,M,GB,Europe,British,Calgary,Alberta,51.05011,-114.08529
A5006356414,Thomas B. Thorson,University of Nebraska–Lincoln,US,9,M,SE,Europe,Swedish,Lincoln,Nebraska,40.8,-96.66696
A5080676459,Michael E. Byrne,University of Missouri,US,10,M,IE,Europe,Irish,Columbia,Missouri,38.95171,-92.33407
A5076958968,Dean C. Thorburn,Pacific Environment,US,9,M,GB,Europe,British,San Francisco,California,37.791778564453125,-122.40203857421876
A5016412131,Carolyn C. deRoos,University of Missouri,US,9,F,BE,Europe,Flemish,Columbia,Missouri,38.95171,-92.33407
A5033196325,Rosa Isabel Ochoa‐Báez,Instituto Politécnico Nacional,MX,9,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5067288564,Kristin M. Hannan,Riverside Technology (United States),US,9,F,NO,Europe,Irish,Fort Collins,Colorado,40.54147720336914,-105.04322052001952
A5067086329,Laura Arreola‐Mendoza,Instituto Politécnico Nacional,MX,8,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5091168022,Luis Malpica‐Cruz,Universidad Autónoma de Baja California,MX,8,M,ES,Europe,Hispanic,Mexicali,NA,32.627811431884766,-115.45446014404295
A5009425845,Shawn A. Hamm,Wichita Clinic,US,8,M,JO,Asia,German,Wichita,Kansas,37.750091552734375,-97.22935485839844
A5019762823,Angela M. Cicia,Arizona State University,US,8,F,IT,Europe,Italian,Tempe,Arizona,33.41477,-111.90931
A5102967752,Iván Alberto Méndez,El Colegio de la Frontera Sur,MX,8,M,ES,Europe,Hispanic,Campeche,Campeche,19.84073,-90.51676
A5048009892,Nancy C. Saavedra‐Sotelo,Universidad Autónoma de Sinaloa,MX,8,F,ES,Europe,Hispanic,Culiacán,Sinaloa,24.80209,-107.39421
A5048080984,Daniela A. Murillo-Cisneros,Instituto Politécnico Nacional,MX,8,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5087547134,Andrew Martin,University of Colorado Boulder,US,9,M,GB,Europe,Irish,Boulder,NA,40.01499176025391,-105.2705535888672
A5011581208,Jeanine M. Donley,MiraCosta College,US,8,F,IE,Europe,Irish,Oceanside,California,33.19062805175781,-117.30142211914062
A5052473626,Clare E. M. Prebble,Marine Megafauna Foundation,US,11,F,GB,Europe,British,Truckee,California,39.32731246948242,-120.2057876586914
A5052530411,Echelle S. Burns,"University of California, Santa Barbara",US,8,F,IE,Europe,British,Santa Barbara,California,34.42083,-119.69819
A5079101984,Silvia Hinojosa‐Álvarez,Tecnológico de Monterrey,MX,8,F,ES,Europe,Hispanic,Monterrey,NA,25.67506980895996,-100.31846618652344
A5062301987,Emily N. Meese,"University of California, Santa Barbara",US,8,F,IE,Europe,German,Santa Barbara,California,34.414,-119.8489
A5065198831,Hugh P. Stanley,Utah State University,US,8,M,IE,Europe,Irish,Logan,NA,41.73548889160156,-111.83438873291016
A5015684691,Leif Tapanila,Idaho State University,US,8,M,FI,Europe,Finnish,Pocatello,NA,42.87129974365234,-112.4455337524414
A5078953524,Wade J. VanderWright,Simon Fraser University,CA,8,M,NL,Europe,British,Burnaby,British Columbia,49.26636,-122.95263
A5070384917,Henry F. Mollet,"California State University, Monterey Bay",US,11,M,IE,Europe,French,Seaside,NA,36.61106872558594,-121.85162353515624
A5043540971,Marc Aquino‐Baleytó,Instituto Politécnico Nacional,MX,8,M,ES,Europe,Italian,Mexico City,Mexico City,19.42847,-99.12766
A5047793216,William K. Stell,University of Calgary,CA,8,M,IE,Europe,British,Calgary,Alberta,51.05011,-114.08529
A5034448431,James I. Kirkland,Utah Geological Survey,US,8,M,GB,Europe,British,Salt Lake City,Utah,40.772090911865234,-111.93660736083984
A5047564527,Travis M. Richards,NOAA National Marine Fisheries Service Southwest Fisheries Science Center,US,8,M,GB,Europe,British,La Jolla,NA,32.84727096557617,-117.27420043945312
A5113520124,Wayne A. Bennett,University of West Florida,US,8,M,GB,Europe,British,Pensacola,NA,30.421310424804688,-87.21691131591797
A5084729510,Roger deRoos,University of Missouri,US,8,M,BE,Europe,Flemish,Columbia,Missouri,38.95171,-92.33407
A5061863637,Diego Mejía,Instituto Politécnico Nacional,MX,8,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5008055496,Colin J. Brauner,University of British Columbia,CA,8,M,CH,Europe,Austrian,Vancouver,British Columbia,49.24966,-123.11934
A5053475924,Gerardo González-Barba,Universidad Autónoma de Baja California Sur,MX,8,M,ES,Europe,Hispanic,La Paz,NA,24.10129737854004,-110.31563568115234
A5110779309,Felipe Ladino,"University of California, Los Angeles",US,8,M,PT,Europe,HispanoLatino,Los Angeles,California,34.05223,-118.24368
A5078322786,Alexandra G. McInturf,Oregon State University,US,8,F,RU,Europe,British,Corvallis,Oregon,44.56457,-123.26204
A5109080654,Joseph J. Cech,"University of California, Davis",US,8,M,IE,Europe,Czech,Davis,California,38.54491,-121.74052
A5068907565,Paola Palacios‐Barreto,Universidad Nacional Autónoma de México,MX,8,F,IT,Europe,Portuguese,Mexico City,Mexico City,19.42847,-99.12766
A5077898393,Natalí Cárdenas‐Palomo,Instituto Politécnico Nacional,MX,7,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5055751221,Andrés Romero-Caicedo,Inter-American Tropical Tuna Commission,US,7,M,ES,Europe,Hispanic,La Jolla,California,32.84727,-117.2742
A5033610162,Nathan Miller,The University of Texas at Austin,US,7,M,GB,Europe,British,Austin,Texas,30.26715,-97.74306
A5109505237,Stella Diamant,Marine Megafauna Foundation,US,7,F,IL,Asia,Jewish,Truckee,California,39.32731246948242,-120.2057876586914
A5066146362,Steven J. Bograd,"University of California, Santa Cruz",US,7,M,GB,Europe,German,Santa Cruz,NA,36.97412109375,-122.03079986572266
A5060109562,Francisco Javier García‐Rodríguez,Instituto Politécnico Nacional,MX,7,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5013008788,Oscar G. Zamora-García,Cultura,MX,7,M,ES,Europe,Hispanic,Mazatlán,NA,23.19548988342285,-106.42272186279295
A5000891823,Philip A. Hastings,Scripps Institution of Oceanography,US,7,M,GB,Europe,British,La Jolla,California,32.84727,-117.2742
A5052870098,Martín Tresguerres,Scripps Institution of Oceanography,US,7,M,ES,Europe,HispanoLatino,La Jolla,California,32.84727,-117.2742
A5010853864,Danielle E. Haulsee,Hubbs-SeaWorld Research Institute,US,7,F,CH,Europe,NativeHawaiian,San Diego,California,32.7639,-117.2269
A5084505638,Magdalena E. Bergés-Tiznado,Cultura,MX,7,F,ES,Europe,Hispanic,Mazatlán,NA,23.19548988342285,-106.42272186279295
A5034308109,Francisco Polanco-Vásquez,Instituto Politécnico Nacional,MX,7,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5027889580,Rachel H.L. Walls,Simon Fraser University,CA,7,F,IE,Europe,British,Burnaby,British Columbia,49.26636,-122.95263
A5088156103,Robert W. Boessenecker,Museum of Vertebrate Zoology,US,7,M,AT,Europe,Austrian,Berkeley,California,37.87144088745117,-122.26221466064452
A5031110356,Paul L. Koch,"University of California, Santa Cruz",US,7,M,DE,Europe,Austrian,Santa Cruz,NA,36.97412109375,-122.03079986572266
A5006467789,Brooke N. Anderson,Arizona State University,US,7,F,GB,Europe,Scottish,Tempe,Arizona,33.41477,-111.90931
A5063300784,Jay H. Matsushiba,Simon Fraser University,CA,7,M,ZM,Africa,Japanese,Burnaby,British Columbia,49.26636,-122.95263
A5000865519,Chris L. Chabot,"California State University, Northridge",US,7,M,FR,Europe,French,Northridge,NA,34.22834014892578,-118.53675079345705
A5019461192,Leonardo Andrés Abitia-Cárdenas,Instituto Politécnico Nacional,MX,7,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5103400387,Alberto Sánchez-González,Instituto Politécnico Nacional,MX,7,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5065169935,S.B. Sujitha,Instituto Politécnico Nacional,MX,7,F,LK,Asia,Sri Lankan,Mexico City,Mexico City,19.42847,-99.12766
A5055063854,Héctor Villalobos,Instituto Politécnico Nacional,MX,7,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5048915779,Nicole Nasby-Lucas,Marine Conservation Institute,US,7,F,FR,Europe,NativeHawaiian,Seattle,Washington,47.6557731628418,-122.34196472167967
A5081784119,Gerardo Navarro‐García,Universidad de Sonora,MX,7,M,ES,Europe,Hispanic,Hermosillo,NA,29.10260009765625,-110.9773178100586
A5113560572,Michael L. Domeier,Marine Conservation Institute,US,9,M,AT,Europe,German,Seattle,Washington,47.6557731628418,-122.34196472167967
A5041915722,Juan Violante‐González,Weatherford College,US,7,M,ES,Europe,Hispanic,Weatherford,Texas,32.74093246459961,-97.792694091796875
A5059440078,Danielle H. Derrick,Simon Fraser University,CA,7,F,CH,Europe,Irish,Burnaby,British Columbia,49.26636,-122.95263
A5090387325,Ryan P. Walter,"California State University, Fullerton",US,7,M,CH,Europe,Austrian,Fullerton,NA,33.87028884887695,-117.9253387451172
A5054754228,Alejandro Oceguera‐Figueroa,Universidad Nacional Autónoma de México,MX,7,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5048119048,Nicholas J. Marra,Governors State University,US,7,M,GR,Europe,Italian,University Park,Illinois,41.44864654541016,-87.71669006347656
A5112822084,Thomas P. Mommsen,University of Victoria,CA,8,M,DK,Europe,Danish,Victoria,British Columbia,48.4359,-123.35155
A5064600501,Jessica Pate,Marine Megafauna Foundation,US,7,F,GB,Europe,British,Truckee,California,39.32731246948242,-120.2057876586914
A5007439405,Antonella Preti,NOAA National Marine Fisheries Service Southwest Fisheries Science Center,US,7,F,IT,Europe,Italian,La Jolla,NA,32.84727096557617,-117.27420043945312
A5039739050,Cleridy E. Lennert‐Cody,Inter-American Tropical Tuna Commission,US,7,Unknown,KW,Asia,Irish,La Jolla,California,32.84727,-117.2742
A5033040755,Mohamad Bazzi,Stanford University,US,7,M,LB,Asia,Lebanese,Stanford,California,37.42411,-122.16608
A5035810829,Michael Castleton,Pacific University,US,7,M,GB,Europe,British,Forest Grove,NA,45.51984024047852,-123.11065673828124
A5037844687,Tania Zenteno‐Savín,Instituto Politécnico Nacional,MX,7,F,RU,Europe,Jewish,Mexico City,Mexico City,19.42847,-99.12766
A5102978579,Germán Soler,"University of California, Los Angeles",US,6,M,ES,Europe,Hispanic,Los Angeles,California,34.05223,-118.24368
A5018413714,Lara A. Ferry,Arizona State University,US,6,F,IE,Europe,Irish,Tempe,Arizona,33.41477,-111.90931
A5047966455,Asha Z. Goodman,San Diego State University,US,6,F,MU,Africa,Jewish,San Diego,NA,32.7157096862793,-117.16471862792967
A5054916699,Francis Juanes,University of Victoria,CA,6,M,ES,Europe,Hispanic,Victoria,British Columbia,48.4359,-123.35155
A5012116020,Mary Elizabeth Matta,NOAA National Marine Fisheries Service Alaska Fisheries Science Center,US,6,F,IE,Europe,Portuguese,Seattle,NA,47.60620880126953,-122.33206939697266
A5002400938,Stephen S. Curran,University of Southern Mississippi,US,7,M,IE,Europe,Irish,Hattiesburg,NA,31.327119827270508,-89.29033660888672
A5007640855,Kyle C. Newton,Oregon State University,US,6,F,GB,Europe,British,Corvallis,Oregon,44.56457,-123.26204
A5078387558,Ad. J. Kalmijn,Scripps Institution of Oceanography,US,6,M,NL,Europe,Dutch,La Jolla,California,32.84727,-117.2742
A5065340366,E. W. Misty Paig‐Tran,"California State University, Fullerton",US,6,F,KW,Asia,Chinese,Fullerton,NA,33.87028884887695,-117.9253387451172
A5085169279,Mark H. Deakos,Nia Association,US,6,M,HU,Europe,Hungarian,Clarksville,Tennessee,36.551570892333984,-87.40834045410156
A5012374355,Jerry Moxley,"California State University, Monterey Bay",US,6,M,GB,Europe,British,Seaside,NA,36.61106872558594,-121.85162353515624
A5038885386,Ingrid Vasconcellos Bunholi,The University of Texas at Austin,US,6,F,NO,Europe,Norwegian,Austin,Texas,30.26715,-97.74306
A5011242216,James Wraith,NOAA National Marine Fisheries Service Southwest Fisheries Science Center,US,6,M,GB,Europe,British,La Jolla,NA,32.84727096557617,-117.27420043945312
A5011209075,Jessica Cheok,Simon Fraser University,CA,6,F,HK,Asia,Malays,Burnaby,British Columbia,49.26636,-122.95263
A5042349094,María Itzigueri Burgos-Vázquez,Instituto Politécnico Nacional,MX,6,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5017613722,Joseph A. Sisneros,University of Washington,US,6,M,IE,Europe,HispanoLatino,Seattle,Washington,47.60621,-122.33207
A5017716120,Luis García‐Prieto,Universidad Nacional Autónoma de México,MX,6,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5079583186,Brent S. Stewart,Hubbs-Sea World Research Institute,US,6,M,GB,Europe,British,San Diego,California,32.76899337768555,-117.23320770263672
A5113541982,Robin M. Overstreet,University of Southern Mississippi,US,6,M,NL,Europe,British,Hattiesburg,NA,31.327119827270508,-89.29033660888672
A5055719824,Karen D. Crow,San Francisco State University,US,6,F,GB,Europe,British,San Francisco,California,37.77493,-122.41942
A5053419666,Christina L. Conrath,NOAA National Marine Fisheries Service Alaska Fisheries Science Center,US,6,F,IE,Europe,German,Seattle,NA,47.60620880126953,-122.33206939697266
A5110630947,Owyn E. Snodgrass,NOAA National Marine Fisheries Service Southwest Fisheries Science Center,US,7,M,GB,Europe,British,La Jolla,NA,32.84727096557617,-117.27420043945312
A5110671040,Trevor J. Shuttleworth,Bamfield Marine Sciences Centre,CA,6,M,GB,Europe,British,Ucluelet,British Columbia,48.83565902709961,-125.13549041748048
A5061347099,Raid Amin,University of West Florida,US,6,M,IQ,Asia,Bangladeshi,Pensacola,NA,30.421310424804688,-87.21691131591797
A5035817950,Gary D. Johnson,Southern Methodist University,US,6,M,GB,Europe,British,Dallas,NA,32.783058166503906,-96.806671142578125
A5033191225,Carlos Alberto Niño‐Torres,Instituto Tecnológico de Chetumal,MX,6,M,ES,Europe,Portuguese,Chetumal,Quintana Roo,18.51957,-88.30397
A5080729648,Spencer G. Lucas,New Mexico Museum of Natural History and Science,US,6,M,GB,Europe,British,Albuquerque,New Mexico,35.09907150268555,-106.66577911376952
A5034654940,Joanna J. Cielocha,Peru State College,US,6,F,PL,Europe,Polish,Peru,Nebraska,40.473819732666016,-95.73236083984376
A5065914163,Lorem del Valle González-González,Instituto Politécnico Nacional,MX,6,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5044765259,Jaelyn J. Eberle,Museum of Boulder,US,6,F,CH,Europe,Swiss,Boulder,Colorado,40.00510025024414,-105.277099609375
A5046884997,Bryan L. Huerta‐Beltrán,University of Southern Mississippi,US,6,M,ES,Europe,Hispanic,Hattiesburg,NA,31.327119827270508,-89.29033660888672
A5063914974,Carol Bucking,Bamfield Marine Sciences Centre,CA,6,F,GB,Europe,British,Ucluelet,British Columbia,48.83565902709961,-125.13549041748048
A5056203990,Luz Erandi Saldaña-Ruiz,Centro de Investigación Científica y de Educación Superior de Ensenada,MX,6,F,ES,Europe,Hispanic,Ensenada,Baja California,31.87149,-116.60071
A5016271275,Ian Taylor,NOAA National Marine Fisheries Service Northwest Fisheries Science Center,US,6,M,GB,Europe,British,Seattle,NA,47.60620880126953,-122.33206939697266
A5060173856,Luis Daniel Carrillo-Colín,Universidad Autónoma de la Ciudad de México,MX,6,M,ES,Europe,Hispanic,Mexico City,NA,19.428470611572266,-99.1276626586914
A5046814329,Lance Adams,Aquarium of the Pacific,US,6,M,GH,Africa,AfricanAmerican,Long Beach,California,33.76216125488281,-118.1969223022461
A5113270207,Jon F. Dodd,Earth Island Institute,US,6,M,IE,Europe,British,Berkeley,California,37.8695182800293,-122.26605987548828
A5089573174,Amanda M. Barker,Texas A&M University – Corpus Christi,US,8,F,GB,Europe,British,Corpus Christi,NA,27.80057907104492,-97.39637756347656
A5066745776,Antonio Corgos,Universidad de Guadalajara,MX,6,M,PT,Europe,Portuguese,Guadalajara,Jalisco,20.66682,-103.39182
A5057373201,Larry B. Crowder,Pacific University,US,6,M,IE,Europe,British,Forest Grove,NA,45.51984024047852,-123.11065673828124
A5045012778,Elpis J. Chávez,Bay Institute,US,6,F,GR,Europe,Hispanic,San Francisco,California,37.80623626708984,-122.41191864013672
A5109967289,Vincent F. Gallucci,University of Washington,US,7,M,IT,Europe,Italian,Seattle,Washington,47.60621,-122.33207
A5025547638,Nataly Bolaño‐Martinez,Universidad Nacional Autónoma de México,MX,6,F,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5008724231,Francisco J. García-Dé León,Pronatura Noroeste,MX,6,M,ES,Europe,Hispanic,Ensenada,NA,31.875146865844727,-116.6272964477539
A5004789455,Naomi F. Farabaugh,University of Washington,US,6,F,IE,Europe,British,Seattle,Washington,47.6553,-122.3035
A5081947189,Robert A. Eagle,"University of California, Los Angeles",US,6,M,IE,Europe,Irish,Los Angeles,California,34.05223,-118.24368
A5082216220,Laís Farias Oliveira Lima,San Diego State University,US,6,F,PT,Europe,Portuguese,San Diego,NA,32.7157096862793,-117.16471862792967
A5066071163,Diana A. Pazmiño,Olema Pharmaceuticals (United States),US,6,F,ES,Europe,Hispanic,San Francisco,California,37.78034973144531,-122.3930435180664
A5030064963,Kathryn A. Ayres,Instituto Politécnico Nacional,MX,7,F,GB,Europe,British,Mexico City,Mexico City,19.42847,-99.12766
A5112363386,Andrew G. Neuman,Royal Tyrrell Museum,CA,6,M,GB,Europe,Jewish,Calgary,Alberta,51.46546936035156,-112.71812438964844
A5043849609,Kathryn A. Dickson,"California State University, Fullerton",US,6,F,GB,Europe,British,Fullerton,NA,33.87028884887695,-117.9253387451172
A5014569206,Manuel Mendoza‐Carranza,El Colegio de la Frontera Sur,MX,6,M,ES,Europe,Hispanic,Campeche,Campeche,19.84073,-90.51676
A5067190742,Alan W. Wells,Andrews University,US,6,M,GB,Europe,British,Berrien Springs,Michigan,41.94643,-86.3389
A5050988963,Robert Daniel Rubin,Santa Rosa Junior College,US,6,M,GB,Europe,Jewish,Santa Rosa,California,38.455299377441406,-122.71976470947266
A5015558286,André M. Boustany,"California State University, Monterey Bay",US,6,M,LB,Asia,Lebanese,Seaside,NA,36.61106872558594,-121.85162353515624
A5109859959,Peggy Loor-Andrade,Inter-American Tropical Tuna Commission,US,6,F,BE,Europe,Portuguese,La Jolla,California,32.84727,-117.2742
A5078269187,Loren McClenachan,University of Victoria,CA,6,M,IE,Europe,Irish,Victoria,British Columbia,48.4359,-123.35155
A5112655829,M.P. Jonathan,Instituto Politécnico Nacional,MX,6,M,IN,Asia,Indian,Mexico City,Mexico City,19.42847,-99.12766
A5009578112,Carlos F. Ruiz,Auburn University,US,7,M,ES,Europe,Hispanic,Auburn,Alabama,32.60986,-85.48078
A5000112408,Mary V. Ashley,University of Illinois Chicago,US,5,F,IE,Europe,British,Chicago,Illinois,41.85003,-87.65005
A5091544501,Nann A. Fangue,"University of California, Davis",US,5,F,CM,Africa,Cameroonian,Davis,California,38.54491,-121.74052
A5066719586,René Lauer,Wheaton College - Illinois,US,5,M,CH,Europe,Austrian,Wheaton,NA,41.86613845825195,-88.10700988769531
A5091601128,Bruce Lauer,Wheaton College - Illinois,US,5,M,CH,Europe,Austrian,Wheaton,NA,41.86613845825195,-88.10700988769531
A5036877484,Brice X. Semmens,Scripps Institution of Oceanography,US,5,M,BE,Europe,British,La Jolla,California,32.84727,-117.2742
A5091727400,Michael F. Criscitiello,Texas A&M University,US,5,M,IT,Europe,Italian,College Station,Texas,30.62798,-96.33441
A5008964124,Adrián F. González‐Acosta,Instituto Politécnico Nacional,MX,5,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
