surname,first_year,last_year,years_active,paper_count,avg_papers_per_year
Chisholm,1991,2020,16,26,0.87
Caira,1993,2022,15,25,0.83
Kearn,1963,2016,20,23,0.43
White,2002,2024,15,23,1.0
Beveridge,1988,2014,17,22,0.81
Braccini,2002,2021,13,18,0.9
Weigmann,2012,2024,9,17,1.31
Francis,1992,2019,13,16,0.57
Heupel,1996,2019,15,16,0.67
Whittington,1986,2011,11,15,0.58
Ebert,1987,2024,11,15,0.39
Gallagher,2012,2022,7,15,1.36
Dippenaar,2006,2024,11,15,0.79
Smith,1969,2022,12,14,0.26
Last,2004,2023,7,14,0.7
Williams,1959,2013,12,13,0.24
Papastamatiou,2005,2023,11,13,0.68
Sims,1993,2015,10,12,0.52
Barnett,2009,2017,7,12,1.33
Meyer,2007,2021,7,12,0.8
Silva,2007,2021,9,12,0.8
Taylor,1971,2022,11,11,0.21
Schaeffner,2011,2019,7,11,1.22
Santos,2004,2025,8,11,0.5
Coelho,2003,2020,9,11,0.61
Kousteni,2015,2022,6,11,1.38
Ruhnke,1994,2015,8,10,0.45
Borucinska,1998,2013,9,10,0.62
Liu,1999,2023,7,10,0.4
Matich,2010,2022,9,10,0.77
Clarke,2001,2024,9,10,0.42
Henderson,2002,2024,9,10,0.43
Lyons,2013,2024,8,10,0.83
Campbell,1987,2023,9,9,0.24
Moravec,1997,2021,8,9,0.36
Espinoza,2011,2024,5,9,0.64
Anderson,2011,2025,7,9,0.6
Guttridge,2009,2025,9,9,0.53
Finucci,2016,2024,6,9,1.0
Rosa,1985,2017,7,8,0.24
Cortés,1992,2017,8,8,0.31
Simpfendorfer,1993,2016,6,8,0.33
Hammerschlag,2011,2025,5,8,0.53
Harry,2011,2024,7,8,0.57
Afonso,2012,2022,5,8,0.73
Dicken,2006,2018,7,8,0.62
Jacoby,2010,2022,6,8,0.62
Li,2012,2023,5,8,0.67
Martin,2001,2020,6,8,0.4
Soares,2013,2021,5,8,0.89
Bouyoucos,2017,2021,5,8,1.6
Shipley,2017,2024,5,8,1.0
Ellis,1995,2018,6,7,0.29
Hussey,2010,2018,5,7,0.78
Barbini,2010,2021,6,7,0.58
Benoît,2008,2015,6,7,0.88
Brown,2010,2025,7,7,0.44
Dudgeon,2008,2020,6,7,0.54
Hoffmayer,2001,2021,7,7,0.33
Randhawa,2007,2015,6,7,0.78
Spaet,2010,2022,6,7,0.54
Whitney,2008,2023,6,7,0.44
Yopak,2007,2019,7,7,0.54
Moore,2001,2019,6,7,0.37
Ferretti,2008,2024,7,7,0.41
Wood,2003,2010,5,7,0.88
Cutmore,2009,2018,5,7,0.7
Domingues,2007,2020,7,7,0.5
Wyffels,2005,2025,6,7,0.33
Poddubnaya,2013,2017,5,7,1.4
Viana,2014,2018,4,7,1.4
Irigoitia,2016,2020,5,7,1.4
Wosnick,2017,2023,5,7,1.0
Scott,1957,2025,6,6,0.09
Mcvicar,1970,1979,5,6,0.6
Boxshall,1974,2022,5,6,0.12
Stevens,1975,2010,5,6,0.17
Jones,1977,2020,4,6,0.14
Klimley,1985,2022,5,6,0.16
Morgan,1997,2021,6,6,0.24
Gleiss,2009,2017,4,6,0.67
Huveneers,2007,2021,6,6,0.4
Joung,2011,2022,5,6,0.5
Kyne,2008,2020,5,6,0.46
Pollerspöck,2011,2018,5,6,0.75
Vaughan,2010,2024,5,6,0.4
Ajemian,2012,2021,4,6,0.6
Bornatowski,2012,2023,5,6,0.5
Bustamante,2012,2025,5,6,0.43
Haseli,2012,2017,4,6,1.0
Queiroz,2010,2023,6,6,0.43
Watanabe,2009,2023,6,6,0.4
Chen,2008,2022,6,6,0.4
Kneebone,2013,2024,5,6,0.5
Poisson,2009,2024,5,6,0.38
Wang,2009,2024,5,6,0.38
Carvalho,2011,2018,5,6,0.75
Moura,2005,2020,5,6,0.38
O'Connell,2007,2020,5,6,0.43
Lim,2014,2023,5,6,0.6
Chero,2016,2021,5,6,1.0
Ehemann,2017,2024,4,6,0.75
Lear,2017,2024,6,6,0.75
Zhang,2019,2024,5,6,1.0
Andrzejaczek,2018,2024,4,6,0.86
Haque,2019,2022,4,6,1.5
Kai,2017,2020,4,6,1.5
Young,1967,2020,5,5,0.09
Grant,1979,2020,3,5,0.12
Stehmann,1982,2021,5,5,0.12
Capapé,1983,2014,5,5,0.16
Johnson,1984,2019,4,5,0.14
Peterson,1984,2020,3,5,0.14
Lund,1990,2015,5,5,0.19
Ginter,1992,2007,5,5,0.31
Walker,1992,2019,5,5,0.18
Ivanov,1998,2021,4,5,0.21
Lowe,1998,2019,4,5,0.23
Punt,1998,2008,4,5,0.45
Ferreira,2011,2024,5,5,0.36
Flammang,2007,2011,4,5,1.0
Justine,2005,2011,4,5,0.71
King,2006,2017,3,5,0.42
Rohner,2011,2022,4,5,0.42
Świderski,2006,2012,4,5,0.71
Mandelman,2007,2012,4,5,0.83
Mourier,2012,2021,4,5,0.5
Rogers,2000,2017,4,5,0.28
Shiffman,2012,2019,5,5,0.62
Trinnie,2009,2016,5,5,0.62
Chin,2013,2023,4,5,0.45
Corrigan,2008,2017,4,5,0.5
Chapman,2009,2016,3,5,0.62
Swain,2006,2019,5,5,0.36
Dunn,2003,2022,5,5,0.25
Navarro,2013,2024,4,5,0.42
Rigby,2014,2017,4,5,1.25
Adams,2015,2024,5,5,0.5
Elston,2015,2023,5,5,0.56
Kroetz,2015,2025,5,5,0.45
Santo,2015,2017,3,5,1.67
Shamsi,2016,2020,4,5,1.0
Trif,2016,2025,4,5,0.5
Micarelli,2017,2025,5,5,0.56
Carbonara,2019,2024,5,5,0.83
Weber,2020,2024,3,5,1.0
Talwar,2017,2025,4,5,0.56
Zhao,2018,2025,3,5,0.62
Rangel,2019,2022,3,5,1.25
Llewellyn,1960,1984,2,4,0.16
Thorson,1982,2017,4,4,0.11
Barker,1984,2022,4,4,0.1
Clark,1989,2022,3,4,0.12
Bullock,1991,2024,3,4,0.12
Compagno,1991,2005,4,4,0.27
Motta,1995,2014,4,4,0.2
Smart,1995,2018,4,4,0.17
Bennett,1997,2021,3,4,0.16
Carlson,1997,2017,4,4,0.19
Cribb,1997,2017,4,4,0.19
Sundström,1998,2009,4,4,0.33
Gubili,2009,2016,4,4,0.5
Jacobsen,2009,2013,4,4,0.8
Poulakis,2011,2019,4,4,0.44
Serra-Pereira,2010,2015,3,4,0.67
Vaudo,2006,2011,3,4,0.67
Ward-Paige,2011,2018,3,4,0.5
Andrews,2009,2015,4,4,0.57
Belleggia,2012,2021,3,4,0.4
Bond,2012,2019,4,4,0.5
Davidson,2011,2016,3,4,0.67
Daly-Engel,2007,2019,4,4,0.31
Graham,2006,2016,4,4,0.36
Hutchinson,2012,2023,4,4,0.33
Iglésias,2010,2022,4,4,0.31
Lopez,2012,2020,3,4,0.44
Macneil,2005,2020,4,4,0.25
Pickering,2008,2014,4,4,0.57
Sequeira,2012,2014,3,4,1.33
Rowat,2007,2013,4,4,0.57
Awruch,2009,2021,4,4,0.31
Concha,2009,2019,4,4,0.36
Kelly,2013,2021,3,4,0.44
Lipej,2009,2025,4,4,0.24
Dulvy,2000,2024,4,4,0.16
Palm,2008,2020,4,4,0.31
Natanson,2008,2020,4,4,0.31
Pillans,2005,2021,4,4,0.24
Bernal,2009,2018,4,4,0.4
Baremore,2009,2019,3,4,0.36
Bizzarro,2007,2023,4,4,0.24
Carlisle,2009,2015,4,4,0.57
Farrell,2009,2014,3,4,0.67
Kajiura,2003,2022,3,4,0.2
Kulka,2009,2024,2,4,0.25
Tovar-Ávila,2007,2010,3,4,1.0
Wearmouth,2009,2014,3,4,0.67
Logan,2010,2020,3,4,0.36
Portnoy,2010,2016,4,4,0.57
Speed,2010,2019,4,4,0.4
Carpenter,2011,2025,4,4,0.27
Walsh,2001,2022,4,4,0.18
Wilson,2001,2015,4,4,0.27
Sherman,2003,2023,3,4,0.19
Costa,2005,2023,4,4,0.21
Rodríguez-Cabello,2005,2020,4,4,0.25
Duncan,2006,2015,2,4,0.4
Glennon,2006,2007,2,4,2.0
Collins,2007,2021,3,4,0.27
Robinson,2007,2016,4,4,0.4
Bangley,2014,2021,3,4,0.5
Jaiteh,2014,2021,4,4,0.5
Mitchell,2014,2024,4,4,0.36
Romero-Caicedo,2014,2016,3,4,1.33
Dallares,2015,2017,2,4,1.33
Jabado,2015,2018,4,4,1.0
Phillips,2015,2021,3,4,0.57
Raoult,2015,2019,3,4,0.8
Rolim,2015,2022,4,4,0.5
Rastgoo,2016,2018,3,4,1.33
Vazquez,2016,2022,4,4,0.57
Araujo,2017,2019,3,4,1.33
Fujinami,2017,2020,3,4,1.0
Franzese,2018,2023,3,4,0.67
Gayford,2023,2025,3,4,1.33
Weideli,2019,2023,2,4,0.8
Burke,2020,2024,3,4,0.8
Reinero,2022,2025,3,4,1.0
Yu,2017,2025,4,4,0.44
Martins,2018,2025,4,4,0.5
Setyawan,2022,2025,2,4,1.0
Booth,2019,2021,3,4,1.33
Coleman,2019,2021,2,4,1.33
Lawson,2017,2022,4,4,0.67
Murillo-Cisneros,2018,2021,3,4,1.0
Smukall,2019,2022,3,4,1.0
Niella,2017,2022,4,4,0.67
Doane,2018,2023,3,4,0.67
Piiper,1967,1977,3,3,0.27
Simmons,1969,1972,2,3,0.75
Russo,1975,2017,2,3,0.07
Rasmussen,1980,2018,3,3,0.08
Taguchi,1980,2015,3,3,0.08
Schultze,1982,2009,3,3,0.11
Lyle,1983,1986,3,3,0.75
Benz,1986,2017,3,3,0.09
Raschi,1986,1992,3,3,0.43
Bruce,1990,2015,3,3,0.12
Parsons,1990,2018,3,3,0.1
Long,1993,2021,3,3,0.1
Wu,1994,2021,3,3,0.11
Bray,1995,2020,3,3,0.12
Oliver,1996,2023,3,3,0.11
Shen,1996,2024,3,3,0.1
Bonfil,1997,2024,3,3,0.11
Gelsleichter,1998,2020,3,3,0.13
Neifar,1998,2000,3,3,1.0
Filmalter,2011,2013,2,3,1.0
Fyler,2007,2011,3,3,0.6
Gleeson,2010,2012,3,3,1.0
Kinney,2009,2016,3,3,0.38
Quiroz,2009,2011,3,3,1.0
Semba,2011,2024,3,3,0.21
Tazerouti,2007,2011,3,3,0.6
Veríssimo,2010,2012,3,3,1.0
Werry,2011,2018,3,3,0.38
Adnet,2012,2019,3,3,0.38
Aschliman,2010,2014,3,3,0.6
Brooks,2012,2015,3,3,0.75
Damalas,2010,2012,3,3,1.0
Drymon,2012,2020,3,3,0.33
Freedman,2002,2017,3,3,0.19
Fischer,2012,2014,3,3,1.0
Frick,2010,2012,2,3,1.0
Hyatt,2012,2018,3,3,0.43
Human,2006,2012,3,3,0.43
Izzo,2012,2020,3,3,0.33
Irvine,2006,2012,2,3,0.43
Kim,2012,2025,3,3,0.21
Leeney,2012,2024,3,3,0.23
Marshall,2012,2015,2,3,0.75
McKinney,2012,2015,3,3,0.75
Mcmeans,2007,2015,3,3,0.33
Menoret,2012,2021,3,3,0.3
Mollen,2012,2023,3,3,0.25
Molina,2012,2023,3,3,0.25
Paramo,2012,2021,3,3,0.3
Ota,2012,2024,3,3,0.23
Rincon,2012,2021,3,3,0.3
Renshaw,2002,2012,3,3,0.27
Saglam,2003,2012,3,3,0.3
Séret,2012,2023,3,3,0.25
Tillett,2008,2012,2,3,0.6
Wegner,2010,2012,2,3,1.0
Yamaguchi,2003,2021,3,3,0.16
Anastasopoulou,2013,2019,3,3,0.43
Cielocha,2011,2014,3,3,0.75
Davis,2002,2013,2,3,0.25
Ferrari,2013,2023,3,3,0.27
Heithaus,2008,2014,3,3,0.43
Figueiredo,2007,2020,3,3,0.21
Jensen,2008,2016,3,3,0.33
Lisney,2006,2017,3,3,0.25
Powter,2008,2010,2,3,1.0
Zhou,2008,2022,3,3,0.2
Alvarenga,2009,2024,3,3,0.19
Dean,2004,2009,3,3,0.5
Freitas,2006,2025,3,3,0.15
Ismen,2003,2009,3,3,0.43
Healy,2003,2020,3,3,0.17
Kolmann,2009,2022,3,3,0.21
Watson,2001,2014,3,3,0.21
Wong,2009,2022,3,3,0.21
Frisk,2006,2014,3,3,0.33
Jeffree,2006,2010,2,3,0.6
Malek,2007,2016,3,3,0.3
Schluessel,2010,2015,3,3,0.5
Sagarese,2010,2014,2,3,0.6
Abrantes,2011,2021,3,3,0.27
Brunnschweiler,2005,2018,3,3,0.21
Colonello,2011,2020,3,3,0.3
Nakaya,2000,2020,3,3,0.14
Pereira,2002,2023,3,3,0.14
Sueiro,2003,2019,3,3,0.18
Cooper,2004,2020,2,3,0.18
Sandoval-Castillo,2004,2020,3,3,0.18
Sepulveda,2004,2015,3,3,0.25
Lucifora,2006,2019,3,3,0.21
Treberg,2006,2016,3,3,0.27
Burreson,2007,2020,3,3,0.21
Miller,2007,2022,3,3,0.19
Pennino,2013,2019,3,3,0.43
Richards,2013,2018,3,3,0.5
Reum,2013,2020,3,3,0.38
Spath,2013,2017,3,3,0.6
Tolotti,2013,2023,3,3,0.27
Dell'apa,2014,2018,3,3,0.6
Green,2014,2023,3,3,0.3
Heard,2014,2020,3,3,0.43
Kessel,2014,2017,3,3,0.75
Munroe,2014,2015,2,3,1.5
Pérez-Jiménez,2014,2020,3,3,0.43
Rodriguez-Cabello,2014,2017,3,3,0.75
Tucker,2014,2022,3,3,0.33
Varghese,2014,2017,3,3,0.75
Tsikliras,2014,2021,2,3,0.38
Barría,2015,2018,2,3,0.75
Bernot,2015,2019,3,3,0.6
Dedman,2015,2017,3,3,1.0
Grace,2015,2023,3,3,0.33
Legare,2015,2020,3,3,0.5
Murray,2015,2024,3,3,0.3
O'Bryhim,2015,2021,3,3,0.43
Osgood,2015,2021,3,3,0.43
Ryan,2015,2019,3,3,0.6
Alves,2016,2025,3,3,0.3
Araújo,2016,2024,3,3,0.33
Bezerra,2016,2020,3,3,0.6
Byrnes,2016,2021,3,3,0.5
Dapp,2016,2017,2,3,1.5
Gilman,2016,2022,3,3,0.43
James,2016,2022,3,3,0.43
Lea,2016,2019,3,3,0.75
Plumlee,2016,2022,3,3,0.43
Pimiento,2016,2019,3,3,0.75
Ramírez-Amaro,2016,2018,2,3,1.0
Swift,2016,2023,3,3,0.38
Yang,2016,2019,2,3,0.75
Xu,2016,2022,2,3,0.43
Amalfitano,2017,2019,2,3,1.0
Barley,2017,2020,2,3,0.75
Borsa,2017,2021,3,3,0.6
Das,2017,2022,2,3,0.5
French,2017,2022,3,3,0.5
Kabasakal,2017,2024,3,3,0.38
Misawa,2017,2023,3,3,0.43
Murie,2020,2024,3,3,0.6
Reis,2020,2023,3,3,0.75
Scacco,2023,2024,2,3,1.5
Vella,2017,2023,2,3,0.43
Bellodi,2021,2024,3,3,0.75
Cullen,2019,2024,2,3,0.5
Glaus,2020,2024,2,3,0.6
Heim,2021,2024,3,3,0.75
Kilfoil,2017,2024,3,3,0.38
Kraft,2021,2025,3,3,0.6
Lipscombe,2020,2024,2,3,0.6
MarquezFarias,2020,2024,3,3,0.6
Livernois,2021,2024,2,3,0.75
Ng,2024,2025,2,3,1.5
Feitosa,2020,2025,2,3,0.5
Lesturgie,2022,2025,2,3,0.75
Keller,2017,2025,3,3,0.33
Meese,2020,2025,2,3,0.5
Lin,2021,2025,3,3,0.6
Thorburn,2018,2025,3,3,0.38
Braun,2019,2022,3,3,0.75
Estupiñán-Montaño,2018,2019,2,3,1.5
Edwards,2019,2022,2,3,0.75
Nevatte,2019,2021,3,3,1.0
Pazmiño,2017,2019,3,3,1.0
Pouca,2018,2019,2,3,1.5
Rutledge,2019,2021,2,3,1.0
Berio,2020,2022,2,3,1.0
Croizier,2020,2020,1,3,3.0
Leigh,2017,2021,3,3,0.6
Yano,2017,2022,2,3,0.5
Fontes,2018,2022,3,3,0.6
Pegado,2018,2020,2,3,1.0
Ott,2018,2021,3,3,0.75
Whitehead,2020,2022,3,3,1.0
Elliott,2020,2022,2,3,1.0
Kindong,2022,2022,1,3,3.0
Lavender,2021,2022,2,3,1.5
Lester,2020,2022,3,3,1.0
Collareta,2021,2023,2,3,1.0
Rao,1950,2019,2,2,0.03
Read,1957,1959,2,2,0.67
Myers,1959,2007,2,2,0.04
Silas,1963,1985,2,2,0.09
Sawyer,1967,1975,2,2,0.22
Pillai,1968,1985,2,2,0.11
Olson,1970,2001,2,2,0.06
Arnold,1972,2005,2,2,0.06
Nair,1973,1976,2,2,0.5
Kabata,1974,1993,2,2,0.1
Bishop,1975,2005,2,2,0.06
Heisler,1978,1988,2,2,0.18
Hara,1982,2018,2,2,0.05
Taniuchi,1982,1983,2,2,1.0
Cappetta,1982,2016,2,2,0.06
Talent,1982,1985,2,2,0.5
Pratt,1983,2001,2,2,0.11
Tanaka,1983,2021,2,2,0.05
Rees,1984,2014,2,2,0.06
SomasekharanNair,1984,1986,2,2,0.67
Deroos,1985,1992,2,2,0.25
Beverley-Burton,1987,1989,2,2,0.67
Pascoe,1987,2020,2,2,0.06
Preez,1988,1990,2,2,0.67
Rice,1988,2016,2,2,0.07
Castro,1989,2016,2,2,0.07
Khalil,1989,2017,2,2,0.07
Tappenden,1990,1991,2,2,1.0
BeverleyBurton,1991,1993,2,2,0.67
Chiba,1991,1992,2,2,1.0
Hornung,1993,2024,2,2,0.06
Schmid,1994,2020,2,2,0.07
Au,1997,2015,2,2,0.11
Diebakate,1997,2000,2,2,0.5
Ballantyne,1997,2013,2,2,0.12
Goldman,1997,2006,2,2,0.2
Gray,1997,2018,2,2,0.09
Manire,1997,2007,2,2,0.18
Amorim,1998,2000,2,2,0.67
Chiaramonte,1998,2000,2,2,0.67
Lessa,1998,2004,2,2,0.29
Scholz,1998,2022,2,2,0.08
Smale,1998,2001,2,2,0.5
Field,2009,2011,2,2,0.67
Griffiths,2010,2011,2,2,1.0
Grim,2011,2012,2,2,1.0
Little,2011,2012,2,2,1.0
Lam,2008,2011,2,2,0.5
Luchetti,2008,2011,2,2,0.5
Mendonça,2011,2012,2,2,1.0
Nakamura,2011,2021,2,2,0.18
Newman,2011,2012,2,2,1.0
Orlov,2011,2022,2,2,0.17
Pajuelo,2011,2016,2,2,0.33
Swimmer,2011,2020,2,2,0.2
Underwood,2011,2013,2,2,0.67
Wienerroither,2011,2015,2,2,0.4
Ali,2012,2020,2,2,0.22
Boyle,2012,2022,2,2,0.18
Bubley,2012,2013,2,2,1.0
Daley,2012,2015,2,2,0.5
Courtney,2012,2016,2,2,0.4
Ezcurra,2012,2012,1,2,2.0
Couturier,2012,2018,2,2,0.29
Eiras,2006,2012,2,2,0.29
Jawad,2012,2019,2,2,0.25
Mejía-Falla,2012,2019,2,2,0.25
Moro,2012,2020,2,2,0.22
Preti,2012,2020,2,2,0.22
Ruocco,2012,2017,2,2,0.33
Sperone,2010,2012,2,2,0.67
Renwart,2012,2013,2,2,1.0
Tavares,2009,2012,2,2,0.5
Vianna,2012,2018,2,2,0.29
Vögler,2012,2020,2,2,0.22
Wueringer,2012,2017,2,2,0.33
Yokota,2009,2012,2,2,0.5
Šantić,2012,2012,1,2,2.0
Akhilesh,2013,2023,2,2,0.18
Beckmann,2013,2014,2,2,1.0
Cartes,2013,2016,2,2,0.5
Clua,2011,2013,2,2,0.67
Cox,2013,2016,2,2,0.5
Dabruzzi,2013,2014,2,2,1.0
Delpiani,2013,2017,2,2,0.4
Deck,2013,2017,2,2,0.4
Dale,2011,2013,2,2,0.67
Froeschke,2010,2013,2,2,0.5
Goetze,2013,2025,2,2,0.15
Guinot,2013,2013,1,2,2.0
Klug,2010,2013,2,2,0.5
Lorance,2001,2013,2,2,0.15
Claes,2008,2014,2,2,0.29
Consoli,2004,2008,2,2,0.4
Dibattista,2006,2008,2,2,0.67
GaleanaVillaseñor,2008,2009,2,2,1.0
Gedamke,2007,2008,2,2,1.0
Gore,2008,2024,2,2,0.12
Straube,2008,2010,2,2,0.67
Ward,2008,2019,2,2,0.17
Cailliet,2009,2015,2,2,0.29
Chang,2009,2024,2,2,0.12
Curran,2009,2016,2,2,0.25
Ding,2009,2025,2,2,0.12
Enever,2009,2010,2,2,1.0
Estalles,2009,2011,2,2,0.67
Holland,2009,2009,1,2,2.0
Hoff,2009,2010,2,2,1.0
Mara,2009,2015,2,2,0.29
Macesic,2009,2010,2,2,1.0
Maxwell,2009,2019,2,2,0.18
Megalofonou,2009,2009,1,2,2.0
Porter,2009,2016,2,2,0.25
Driggers,2010,2018,2,2,0.22
Dudley,2005,2010,2,2,0.33
Gilmour,2004,2010,2,2,0.29
Farrugia,2010,2011,2,2,1.0
Hernández,2010,2015,2,2,0.33
Kitamura,2010,2019,2,2,0.2
Montealegre-Quijano,2010,2014,2,2,0.4
Pierce,2010,2010,1,2,2.0
Piercy,2010,2016,2,2,0.29
Piovano,2010,2017,2,2,0.25
Sleeman,2007,2010,2,2,0.5
Torres-Rojas,2010,2014,2,2,0.4
Tsai,2010,2019,2,2,0.2
Whitenack,2010,2010,1,2,2.0
Whittamore,2005,2010,2,2,0.33
Bethea,2007,2011,2,2,0.4
Chapple,2011,2024,2,2,0.14
Claeson,2011,2014,2,2,0.5
Fish,2000,2019,2,2,0.1
Pardini,2000,2001,2,2,1.0
Tullis,2000,2005,2,2,0.33
Wintner,2000,2018,2,2,0.11
Kohler,2001,2023,2,2,0.09
Ritter,2001,2014,2,2,0.14
West,2001,2020,2,2,0.1
Brickle,2002,2003,2,2,1.0
Janech,2002,2003,2,2,1.0
Karlsbakk,2002,2005,2,2,0.5
Mollet,2002,2002,1,2,2.0
Shepherd,2002,2005,2,2,0.5
Ball,2003,2016,2,2,0.14
Hardie,2003,2004,2,2,1.0
Marques,2003,2020,2,2,0.11
Turner,2003,2017,2,2,0.13
Bullard,2004,2006,2,2,0.67
Mabragaña,2004,2025,2,2,0.09
Tang,2004,2022,2,2,0.11
Sosebee,2004,2005,2,2,1.0
Campana,2005,2016,2,2,0.17
Cotton,2005,2015,2,2,0.18
Friggens,2005,2005,1,2,2.0
Johnson-Restrepo,2005,2007,2,2,0.67
Hulbert,2005,2006,2,2,1.0
Martín,2005,2024,2,2,0.1
Marie,2005,2006,2,2,1.0
Perez,2005,2017,2,2,0.15
Bradshaw,2007,2008,2,2,1.0
Hayes,2007,2021,2,2,0.13
Hight,2007,2007,1,2,2.0
Perry,2007,2018,2,2,0.17
Treloar,2007,2017,2,2,0.18
Weng,2007,2014,2,2,0.25
Lloyd,2013,2021,2,2,0.22
Mojica,2013,2014,2,2,1.0
Nielsen,2013,2016,2,2,0.5
Nosal,2013,2014,2,2,1.0
Oliveira,2013,2016,2,2,0.5
Ari,2014,2015,2,2,1.0
Bakopoulos,2014,2018,2,2,0.4
Fernandez-Carvalho,2014,2015,2,2,1.0
Golestaninasab,2014,2016,2,2,0.67
Groeneveld,2014,2024,2,2,0.18
Hazin,2014,2014,1,2,2.0
Irschick,2014,2015,2,2,1.0
Kadri,2014,2014,1,2,2.0
Kiszka,2014,2015,2,2,1.0
Ketchum,2014,2014,1,2,2.0
Harrison,2014,2018,2,2,0.4
Newby,2014,2014,1,2,2.0
Olin,2014,2018,2,2,0.4
Sibert,2014,2015,2,2,1.0
Stehfest,2014,2015,2,2,1.0
Vandeperre,2014,2016,2,2,0.67
Vignaud,2014,2014,1,2,2.0
Villafaña,2014,2018,2,2,0.4
Whitty,2014,2017,2,2,0.5
Amaral,2015,2018,2,2,0.5
Zapata-Hernandez,2014,2016,2,2,0.67
Cruz,2015,2023,2,2,0.22
Dharmadi,2015,2015,1,2,2.0
Drew,2015,2017,2,2,0.67
Duffy,2015,2018,2,2,0.5
Escalle,2015,2016,2,2,1.0
Furumitsu,2015,2019,2,2,0.4
Fuss,2015,2018,2,2,0.5
Finotto,2015,2023,2,2,0.22
Gardiner,2015,2017,2,2,0.67
Hacohen-Domené,2015,2017,2,2,0.67
Lara-Mendoza,2015,2021,2,2,0.29
Lauder,2015,2016,2,2,1.0
Loor-Andrade,2015,2017,2,2,0.67
Marino,2015,2018,2,2,0.5
